hour,day,month,year,temperature(°C),humidity(%),cloudcover(%),windspeed(km/h),irrediance(W/m²)
6,14,7,2023,23.9,74,0,8.9,0.0
7,14,7,2023,24.7,73,0,7.5,61.4
8,14,7,2023,26.3,68,0,5.8,204.1
9,14,7,2023,29.3,55,0,3.4,376.3
10,14,7,2023,31.4,46,0,3.7,538.8
11,14,7,2023,33.1,40,0,3.4,673.1
12,14,7,2023,33.7,39,0,8.5,761.4
13,14,7,2023,33.8,39,0,12.2,806.3
14,14,7,2023,34.9,33,0,11.4,794.9
15,14,7,2023,33.9,43,1,7.9,727.6
16,14,7,2023,34.1,45,1,13.0,606.6
17,14,7,2023,34.3,42,27,17.2,459.2
18,14,7,2023,32.0,45,13,20.8,176.2
19,14,7,2023,29.0,53,29,22.3,132.9
20,14,7,2023,27.1,63,1,19.7,20.5
21,14,7,2023,25.8,73,0,18.6,0.0
22,14,7,2023,25.3,75,1,17.6,0.0
23,14,7,2023,25.1,73,1,16.4,0.0
0,15,7,2023,24.5,78,0,16.8,0.0
1,15,7,2023,24.2,83,0,16.8,0.0
2,15,7,2023,24.1,82,0,15.7,0.0
3,15,7,2023,23.5,87,0,19.4,0.0
4,15,7,2023,23.5,84,0,17.6,0.0
5,15,7,2023,23.4,83,0,17.1,0.0
6,15,7,2023,23.1,86,0,17.9,0.0
7,15,7,2023,24.3,76,0,19.6,56.6
8,15,7,2023,25.9,68,0,19.1,195.3
9,15,7,2023,27.8,55,0,19.6,364.8
10,15,7,2023,29.5,48,0,21.5,525.6
11,15,7,2023,30.6,44,0,22.9,657.2
12,15,7,2023,31.2,42,0,24.2,752.1
13,15,7,2023,31.3,42,0,25.1,797.3
14,15,7,2023,31.3,41,0,26.1,790.9
15,15,7,2023,30.8,45,0,24.7,734.3
16,15,7,2023,29.7,48,1,26.8,619.5
17,15,7,2023,28.8,49,0,27.8,479.7
18,15,7,2023,27.9,54,0,26.7,319.3
19,15,7,2023,26.7,60,0,25.7,158.2
20,15,7,2023,25.2,69,0,23.2,33.3
21,15,7,2023,24.1,75,0,20.6,0.0
22,15,7,2023,23.5,80,0,19.6,0.0
23,15,7,2023,23.2,82,0,19.1,0.0
0,16,7,2023,22.9,84,0,18.3,0.0
1,16,7,2023,22.5,86,0,17.8,0.0
2,16,7,2023,22.3,87,0,17.8,0.0
3,16,7,2023,21.6,89,0,14.0,0.0
4,16,7,2023,21.4,90,0,12.5,0.0
5,16,7,2023,21.3,90,0,13.6,0.0
6,16,7,2023,21.4,90,0,15.2,0.0
7,16,7,2023,22.9,81,0,17.6,58.8
8,16,7,2023,24.5,73,0,19.6,203.5
9,16,7,2023,26.0,63,4,21.2,375.7
10,16,7,2023,27.3,55,12,21.8,526.9
11,16,7,2023,28.3,51,9,22.7,626.2
12,16,7,2023,29.1,44,1,23.9,735.6
13,16,7,2023,29.5,41,0,25.3,814.6
14,16,7,2023,29.3,42,0,26.4,807.7
15,16,7,2023,28.7,41,0,26.1,744.9
16,16,7,2023,28.0,44,0,26.8,631.6
17,16,7,2023,27.4,47,0,26.6,487.6
18,16,7,2023,26.4,51,0,27.4,325.9
19,16,7,2023,25.4,60,0,26.8,163.2
20,16,7,2023,24.4,65,0,24.2,34.4
21,16,7,2023,23.6,72,0,21.6,0.0
22,16,7,2023,23.2,75,0,19.6,0.0
23,16,7,2023,22.9,78,0,17.7,0.0
0,17,7,2023,22.6,81,0,17.1,0.0
1,17,7,2023,22.2,85,0,15.3,0.0
2,17,7,2023,21.9,88,0,15.0,0.0
3,17,7,2023,21.3,91,0,12.6,0.0
4,17,7,2023,21.0,92,0,10.5,0.0
5,17,7,2023,21.1,91,0,13.2,0.0
6,17,7,2023,21.1,91,0,13.3,0.0
7,17,7,2023,22.6,83,0,16.3,59.3
8,17,7,2023,24.6,72,4,17.8,202.5
9,17,7,2023,26.3,63,4,20.8,364.2
10,17,7,2023,27.7,53,3,22.2,519.3
11,17,7,2023,28.9,46,0,23.8,661.8
12,17,7,2023,29.6,43,0,25.0,767.9
13,17,7,2023,29.7,40,0,26.5,811.6
14,17,7,2023,29.6,38,0,29.0,803.8
15,17,7,2023,28.4,44,0,25.2,742.9
16,17,7,2023,27.9,45,0,26.3,626.8
17,17,7,2023,27.2,47,0,27.7,484.8
18,17,7,2023,26.3,52,0,27.6,322.3
19,17,7,2023,25.5,56,0,26.8,159.9
20,17,7,2023,24.4,63,0,24.7,33.1
21,17,7,2023,23.6,66,0,20.1,0.0
22,17,7,2023,23.2,69,0,17.8,0.0
23,17,7,2023,22.8,72,0,16.7,0.0
0,18,7,2023,22.4,75,0,15.7,0.0
1,18,7,2023,22.0,77,0,14.8,0.0
2,18,7,2023,21.6,80,0,13.2,0.0
3,18,7,2023,21.9,79,0,13.7,0.0
4,18,7,2023,21.6,80,0,11.2,0.0
5,18,7,2023,21.4,81,0,11.7,0.0
6,18,7,2023,21.2,81,0,10.9,0.0
7,18,7,2023,22.4,75,0,11.6,59.8
8,18,7,2023,24.6,64,0,15.0,204.2
9,18,7,2023,26.2,57,0,17.0,378.6
10,18,7,2023,27.6,51,0,19.9,544.1
11,18,7,2023,28.4,47,0,23.9,679.1
12,18,7,2023,28.9,46,0,24.8,768.0
13,18,7,2023,29.3,43,0,25.5,812.6
14,18,7,2023,29.4,44,0,25.6,803.8
15,18,7,2023,28.6,45,0,20.9,738.0
16,18,7,2023,28.4,44,0,23.0,624.9
17,18,7,2023,27.7,46,0,24.7,482.9
18,18,7,2023,27.1,48,0,24.7,319.6
19,18,7,2023,26.1,54,0,23.0,158.9
20,18,7,2023,25.0,60,0,21.0,32.2
21,18,7,2023,23.9,66,0,17.4,0.0
22,18,7,2023,23.3,70,0,16.0,0.0
23,18,7,2023,22.8,73,0,15.0,0.0
0,19,7,2023,22.4,76,0,14.3,0.0
1,19,7,2023,21.9,79,0,12.5,0.0
2,19,7,2023,21.6,81,0,12.0,0.0
3,19,7,2023,21.3,79,0,10.1,0.0
4,19,7,2023,20.9,85,0,11.7,0.0
5,19,7,2023,20.9,88,0,10.0,0.0
6,19,7,2023,20.9,88,0,9.8,0.0
7,19,7,2023,22.4,81,0,11.3,54.9
8,19,7,2023,24.6,71,0,12.8,191.5
9,19,7,2023,26.6,60,0,14.5,362.4
10,19,7,2023,28.5,51,0,13.4,525.3
11,19,7,2023,29.9,44,0,12.4,661.0
12,19,7,2023,31.1,40,0,13.2,751.5
13,19,7,2023,31.9,39,0,18.1,794.4
14,19,7,2023,31.8,37,0,24.6,783.0
15,19,7,2023,30.6,37,0,23.1,722.6
16,19,7,2023,30.0,39,0,21.9,620.1
17,19,7,2023,29.6,41,0,20.9,476.4
18,19,7,2023,28.5,45,0,21.1,313.5
19,19,7,2023,27.2,52,0,21.2,152.7
20,19,7,2023,25.7,61,0,18.3,29.9
21,19,7,2023,24.4,68,0,16.1,0.0
22,19,7,2023,24.0,67,1,14.2,0.0
23,19,7,2023,23.6,68,0,12.4,0.0
0,20,7,2023,23.0,69,0,8.9,0.0
1,20,7,2023,22.4,70,0,7.9,0.0
2,20,7,2023,22.1,67,0,8.9,0.0
3,20,7,2023,21.7,69,0,10.0,0.0
4,20,7,2023,21.4,69,0,9.2,0.0
5,20,7,2023,21.2,70,0,8.1,0.0
6,20,7,2023,21.1,71,0,10.0,0.0
7,20,7,2023,22.4,66,0,11.2,55.5
8,20,7,2023,24.9,59,0,7.6,193.2
9,20,7,2023,27.7,50,0,6.0,367.4
10,20,7,2023,29.8,43,0,5.0,532.2
11,20,7,2023,31.4,39,0,5.6,668.7
12,20,7,2023,32.2,38,0,5.4,758.9
13,20,7,2023,33.1,39,0,4.7,798.5
14,20,7,2023,34.2,33,0,2.7,786.0
15,20,7,2023,33.4,42,7,10.6,722.6
16,20,7,2023,33.9,41,8,6.4,584.6
17,20,7,2023,33.5,43,19,4.6,449.5
18,20,7,2023,33.0,46,6,7.9,274.6
19,20,7,2023,32.0,49,1,7.3,139.7
20,20,7,2023,31.0,53,1,6.4,27.7
21,20,7,2023,29.4,58,2,5.8,0.0
22,20,7,2023,28.3,60,0,6.0,0.0
23,20,7,2023,27.1,62,0,5.1,0.0
0,21,7,2023,26.5,64,0,5.0,0.0
1,21,7,2023,25.2,70,0,1.9,0.0
2,21,7,2023,24.3,74,0,3.3,0.0
3,21,7,2023,24.1,77,0,5.9,0.0
4,21,7,2023,23.6,79,1,6.1,0.0
5,21,7,2023,22.7,84,1,4.4,0.0
6,21,7,2023,21.9,91,4,5.5,0.0
7,21,7,2023,23.6,85,17,3.2,48.6
8,21,7,2023,25.4,79,0,5.4,154.1
9,21,7,2023,27.7,68,0,10.5,348.8
10,21,7,2023,29.9,57,1,14.6,511.2
11,21,7,2023,31.1,51,16,16.2,622.7
12,21,7,2023,31.3,48,35,15.8,636.1
13,21,7,2023,31.5,47,20,16.1,574.6
14,21,7,2023,32.4,42,5,16.3,595.4
15,21,7,2023,32.0,47,16,11.3,644.7
16,21,7,2023,30.7,51,37,21.2,431.0
17,21,7,2023,29.6,52,10,19.7,318.9
18,21,7,2023,29.1,53,4,19.2,265.2
19,21,7,2023,27.8,57,3,20.3,137.2
20,21,7,2023,26.3,67,1,19.2,26.3
21,21,7,2023,25.1,78,2,16.7,0.0
22,21,7,2023,24.7,84,0,15.4,0.0
23,21,7,2023,24.2,88,0,13.8,0.0
0,22,7,2023,23.8,92,0,11.9,0.0
1,22,7,2023,23.4,95,0,10.8,0.0
2,22,7,2023,23.1,96,0,11.5,0.0
3,22,7,2023,23.8,95,90,9.4,0.0
4,22,7,2023,24.3,92,90,11.8,0.0
5,22,7,2023,24.3,91,90,10.9,0.0
6,22,7,2023,23.8,93,90,8.0,0.0
7,22,7,2023,24.2,89,22,9.5,15.1
8,22,7,2023,25.6,78,5,7.6,157.0
9,22,7,2023,27.2,68,0,4.1,352.6
10,22,7,2023,28.4,61,0,5.9,521.5
11,22,7,2023,29.6,57,0,7.7,655.0
12,22,7,2023,30.6,52,0,11.3,743.4
13,22,7,2023,31.8,43,0,13.7,780.4
14,22,7,2023,32.7,37,0,14.5,766.2
15,22,7,2023,32.2,41,0,16.6,715.7
16,22,7,2023,31.4,43,4,16.9,599.3
17,22,7,2023,31.4,44,6,14.1,433.9
18,22,7,2023,31.6,44,10,11.7,279.2
19,22,7,2023,31.3,43,4,8.7,131.0
20,22,7,2023,30.2,44,6,7.4,24.5
21,22,7,2023,28.2,50,1,6.0,0.0
22,22,7,2023,27.3,57,0,6.1,0.0
23,22,7,2023,26.9,62,0,6.0,0.0
0,23,7,2023,26.0,64,0,7.9,0.0
1,23,7,2023,25.4,66,0,7.4,0.0
2,23,7,2023,25.4,65,0,7.8,0.0
3,23,7,2023,27.0,59,0,3.7,0.0
4,23,7,2023,27.3,58,0,5.6,0.0
5,23,7,2023,27.7,55,1,4.6,0.0
6,23,7,2023,25.2,65,3,6.1,0.0
7,23,7,2023,26.8,61,29,12.8,44.0
8,23,7,2023,26.4,64,2,18.0,100.5
9,23,7,2023,28.7,55,5,13.7,344.6
10,23,7,2023,31.1,46,0,7.1,482.6
11,23,7,2023,31.5,44,2,10.1,638.0
