hour,day,month,year,temperature(°C),humidity(%),cloudcover(%),windspeed(km/h),irrediance(W/m²)
10,12,9,2023,23.7,56,30,21.1,363.5
11,12,9,2023,25.1,45,12,23.1,404.8
12,12,9,2023,25.6,39,4,24.3,567.9
13,12,9,2023,25.9,38,6,23.7,632.0
14,12,9,2023,25.9,38,4,25.2,607.9
15,12,9,2023,26.6,40,11,24.2,558.1
16,12,9,2023,26.0,43,1,23.4,436.7
17,12,9,2023,25.1,45,0,24.5,304.5
18,12,9,2023,24.0,50,0,24.8,141.5
19,12,9,2023,22.6,57,0,22.7,17.1
20,12,9,2023,21.6,61,0,19.2,0.0
21,12,9,2023,21.2,63,0,16.5,0.0
22,12,9,2023,20.8,64,0,15.5,0.0
23,12,9,2023,20.3,65,0,13.7,0.0
0,13,9,2023,19.8,68,0,12.1,0.0
1,13,9,2023,19.2,71,0,10.6,0.0
2,13,9,2023,18.7,74,1,9.4,0.0
3,13,9,2023,18.0,77,2,6.3,0.0
4,13,9,2023,16.7,84,3,7.1,0.0
5,13,9,2023,16.7,83,3,6.1,0.0
6,13,9,2023,16.6,84,2,5.9,0.0
7,13,9,2023,17.0,82,0,6.2,0.0
8,13,9,2023,19.3,74,0,9.7,79.4
9,13,9,2023,21.9,65,0,8.9,240.1
10,13,9,2023,24.0,55,6,14.4,406.3
11,13,9,2023,25.4,47,4,16.4,525.8
12,13,9,2023,26.5,41,0,18.1,625.5
13,13,9,2023,27.1,37,0,20.1,675.4
14,13,9,2023,27.1,37,0,22.5,656.6
15,13,9,2023,27.2,43,0,17.7,582.4
16,13,9,2023,26.3,44,0,21.6,449.8
17,13,9,2023,25.3,44,0,19.8,298.0
18,13,9,2023,24.3,49,0,20.7,139.2
19,13,9,2023,22.7,59,0,18.9,15.4
20,13,9,2023,21.5,64,0,17.3,0.0
21,13,9,2023,20.9,66,0,16.6,0.0
22,13,9,2023,20.4,68,0,15.9,0.0
23,13,9,2023,19.9,70,0,15.5,0.0
0,14,9,2023,19.4,74,0,14.0,0.0
1,14,9,2023,18.9,77,0,13.2,0.0
2,14,9,2023,18.6,79,0,14.3,0.0
3,14,9,2023,18.2,91,0,9.4,0.0
4,14,9,2023,17.9,92,0,10.5,0.0
5,14,9,2023,17.8,92,0,11.5,0.0
6,14,9,2023,17.6,92,0,10.5,0.0
7,14,9,2023,17.3,92,0,9.2,0.0
8,14,9,2023,18.9,85,0,9.9,81.8
9,14,9,2023,21.3,75,0,6.6,245.7
10,14,9,2023,23.8,62,0,8.2,417.0
11,14,9,2023,25.9,46,0,7.5,555.4
12,14,9,2023,27.0,38,1,3.4,645.4
13,14,9,2023,28.0,34,8,6.3,678.4
14,14,9,2023,28.8,32,4,10.4,654.5
15,14,9,2023,28.4,37,4,4.9,577.3
16,14,9,2023,28.1,44,8,16.5,445.7
17,14,9,2023,26.9,39,11,24.5,288.1
18,14,9,2023,25.3,43,8,20.7,130.4
19,14,9,2023,23.7,51,8,18.9,12.9
20,14,9,2023,22.0,64,30,16.8,0.0
21,14,9,2023,21.3,70,27,14.0,0.0
22,14,9,2023,20.6,74,12,9.3,0.0
23,14,9,2023,19.2,81,5,6.1,0.0
0,15,9,2023,18.7,82,2,8.9,0.0
1,15,9,2023,18.4,78,0,10.2,0.0
2,15,9,2023,17.9,82,0,10.0,0.0
3,15,9,2023,17.6,93,0,8.7,0.0
4,15,9,2023,17.2,93,12,6.5,0.0
5,15,9,2023,17.5,92,18,8.3,0.0
6,15,9,2023,17.4,93,58,7.8,0.0
7,15,9,2023,16.9,94,85,6.1,0.0
8,15,9,2023,18.3,91,89,7.7,49.9
9,15,9,2023,21.0,83,27,5.9,188.8
10,15,9,2023,23.9,69,17,8.4,391.9
11,15,9,2023,26.2,52,5,8.7,533.7
12,15,9,2023,27.8,39,0,9.9,623.4
13,15,9,2023,28.7,33,5,13.1,661.1
14,15,9,2023,29.0,31,7,15.7,641.5
15,15,9,2023,27.9,35,8,13.9,561.9
16,15,9,2023,27.7,37,8,18.3,430.8
17,15,9,2023,26.3,43,12,19.8,275.7
18,15,9,2023,24.5,56,13,19.6,120.9
19,15,9,2023,23.0,68,14,18.4,9.8
20,15,9,2023,22.0,76,24,17.1,0.0
21,15,9,2023,21.7,78,21,17.7,0.0
22,15,9,2023,21.4,79,27,16.6,0.0
23,15,9,2023,21.1,81,28,12.7,0.0
0,16,9,2023,20.5,84,18,11.6,0.0
1,16,9,2023,20.1,86,15,11.0,0.0
2,16,9,2023,19.7,87,27,9.7,0.0
3,16,9,2023,19.3,88,21,9.7,0.0
4,16,9,2023,18.7,89,0,9.3,0.0
5,16,9,2023,18.4,90,0,8.7,0.0
6,16,9,2023,18.4,90,0,9.3,0.0
7,16,9,2023,18.5,90,1,10.7,0.0
8,16,9,2023,20.4,81,1,11.0,71.3
9,16,9,2023,23.0,69,15,13.0,223.7
10,16,9,2023,24.7,60,16,16.5,358.8
11,16,9,2023,25.9,53,17,19.3,468.5
12,16,9,2023,26.6,49,17,21.9,523.0
13,16,9,2023,27.0,49,6,24.1,584.2
14,16,9,2023,26.8,49,16,27.5,610.0
15,16,9,2023,26.4,52,18,26.9,506.0
16,16,9,2023,25.9,54,3,25.2,371.0
17,16,9,2023,25.2,54,9,27.8,275.9
18,16,9,2023,23.8,65,32,28.4,122.9
19,16,9,2023,22.8,72,32,26.8,6.3
20,16,9,2023,22.2,75,31,24.5,0.0
21,16,9,2023,22.2,73,20,24.4,0.0
22,16,9,2023,22.2,71,28,22.7,0.0
23,16,9,2023,22.1,73,22,22.0,0.0
0,17,9,2023,21.8,78,12,21.2,0.0
1,17,9,2023,21.8,78,11,21.7,0.0
2,17,9,2023,21.6,78,8,20.1,0.0
3,17,9,2023,21.5,83,22,23.0,0.0
4,17,9,2023,21.5,83,30,21.2,0.0
5,17,9,2023,21.4,84,20,19.1,0.0
6,17,9,2023,21.2,83,30,17.3,0.0
7,17,9,2023,21.2,82,36,16.3,0.0
8,17,9,2023,22.5,74,8,20.2,38.7
9,17,9,2023,24.0,66,3,23.2,199.8
10,17,9,2023,25.1,58,9,24.6,359.1
11,17,9,2023,26.1,52,6,25.3,492.7
12,17,9,2023,26.9,48,20,27.7,587.9
13,17,9,2023,27.0,48,25,28.9,525.5
14,17,9,2023,26.5,51,26,30.8,446.6
15,17,9,2023,26.5,54,42,27.7,430.3
16,17,9,2023,25.3,59,44,28.0,301.5
17,17,9,2023,24.3,63,18,28.5,193.8
18,17,9,2023,23.1,67,29,28.5,88.3
19,17,9,2023,21.8,67,32,26.5,5.6
20,17,9,2023,21.2,70,35,25.2,0.0
21,17,9,2023,20.9,70,35,25.3,0.0
22,17,9,2023,20.6,70,41,24.6,0.0
23,17,9,2023,20.4,70,49,23.6,0.0
0,18,9,2023,20.2,71,33,23.1,0.0
1,18,9,2023,20.1,70,44,22.7,0.0
2,18,9,2023,20.1,68,19,20.7,0.0
3,18,9,2023,21.0,63,33,23.4,0.0
4,18,9,2023,20.6,65,22,21.0,0.0
5,18,9,2023,20.2,66,17,19.1,0.0
6,18,9,2023,20.2,66,19,20.2,0.0
7,18,9,2023,20.4,64,54,21.8,0.0
8,18,9,2023,21.5,59,23,24.2,37.3
9,18,9,2023,22.6,54,38,30.5,165.6
10,18,9,2023,23.6,49,52,31.3,273.8
11,18,9,2023,24.3,47,46,31.5,296.6
12,18,9,2023,25.0,44,81,31.4,386.1
13,18,9,2023,25.0,43,96,31.8,237.5
14,18,9,2023,24.9,43,74,32.6,172.9
15,18,9,2023,24.9,47,91,30.0,242.8
16,18,9,2023,24.4,48,50,31.4,115.6
17,18,9,2023,23.4,52,11,31.8,149.3
18,18,9,2023,22.6,54,20,32.1,100.1
19,18,9,2023,21.8,58,25,29.0,4.0
20,18,9,2023,21.5,58,32,25.1,0.0
21,18,9,2023,21.5,58,46,25.7,0.0
22,18,9,2023,21.3,59,32,24.9,0.0
23,18,9,2023,21.0,61,12,24.0,0.0
0,19,9,2023,20.8,61,16,21.5,0.0
1,19,9,2023,20.5,63,10,19.3,0.0
2,19,9,2023,20.3,65,25,18.4,0.0
3,19,9,2023,20.7,61,20,18.1,0.0
4,19,9,2023,20.0,64,30,16.9,0.0
5,19,9,2023,20.0,64,36,16.8,0.0
6,19,9,2023,20.2,64,47,17.9,0.0
7,19,9,2023,20.4,64,39,18.4,0.0
8,19,9,2023,21.6,59,12,19.7,46.7
9,19,9,2023,22.8,53,18,25.6,167.3
10,19,9,2023,24.0,49,5,26.1,367.7
11,19,9,2023,24.8,47,10,24.6,509.3
12,19,9,2023,25.5,45,6,24.4,611.0
13,19,9,2023,25.7,44,4,25.9,614.3
14,19,9,2023,25.7,43,0,27.1,621.1
15,19,9,2023,25.7,49,17,26.0,561.4
16,19,9,2023,25.0,51,3,27.2,357.2
17,19,9,2023,24.2,52,0,27.1,220.1
18,19,9,2023,23.2,57,1,26.1,115.9
19,19,9,2023,21.9,64,1,22.7,3.4
20,19,9,2023,21.2,69,3,19.1,0.0
21,19,9,2023,20.8,71,2,17.2,0.0
22,19,9,2023,20.4,73,4,14.6,0.0
23,19,9,2023,19.8,75,0,11.6,0.0
0,20,9,2023,18.9,79,0,8.1,0.0
1,20,9,2023,17.9,84,2,6.3,0.0
2,20,9,2023,17.3,86,4,6.2,0.0
3,20,9,2023,17.4,85,58,5.2,0.0
4,20,9,2023,17.0,87,27,4.8,0.0
5,20,9,2023,16.8,89,26,5.4,0.0
6,20,9,2023,16.1,90,18,6.4,0.0
7,20,9,2023,16.2,90,14,5.5,0.0
8,20,9,2023,18.5,80,7,8.5,58.2
9,20,9,2023,20.8,69,7,6.6,215.4
10,20,9,2023,22.6,57,40,9.8,369.2
11,20,9,2023,23.9,50,39,9.7,414.6
12,20,9,2023,24.8,48,35,8.5,544.1
13,20,9,2023,25.4,46,36,8.4,586.9
14,20,9,2023,26.0,45,15,13.3,585.8
15,20,9,2023,26.3,47,33,18.0,539.4
16,20,9,2023,25.2,50,10,21.2,380.0
17,20,9,2023,24.2,53,0,19.8,255.8
18,20,9,2023,23.1,57,0,19.3,107.3
19,20,9,2023,22.0,61,0,16.8,1.5
20,20,9,2023,21.2,65,0,13.3,0.0
21,20,9,2023,20.5,68,0,10.9,0.0
22,20,9,2023,20.1,70,0,9.9,0.0
23,20,9,2023,19.5,74,0,9.5,0.0
0,21,9,2023,18.9,80,0,8.9,0.0
1,21,9,2023,18.3,85,0,8.0,0.0
2,21,9,2023,17.4,89,0,5.6,0.0
3,21,9,2023,17.1,88,4,5.1,0.0
4,21,9,2023,16.6,90,20,6.0,0.0
5,21,9,2023,16.7,90,31,6.1,0.0
6,21,9,2023,17.2,88,32,5.8,0.0
7,21,9,2023,16.7,90,13,5.7,0.0
8,21,9,2023,18.7,80,9,7.5,59.0
9,21,9,2023,20.6,72,2,6.2,210.7
10,21,9,2023,22.4,63,49,10.6,364.9
11,21,9,2023,23.9,55,36,9.2,382.0
12,21,9,2023,24.8,50,22,5.8,539.9
13,21,9,2023,25.6,45,8,6.1,614.1
14,21,9,2023,26.3,42,4,8.9,606.1
15,21,9,2023,26.7,47,8,13.0,537.2
16,21,9,2023,26.1,47,9,17.6,400.1
17,21,9,2023,24.8,49,29,19.6,254.3
18,21,9,2023,23.2,53,30,16.5,69.8
19,21,9,2023,21.8,61,27,15.1,0.0
20,21,9,2023,20.6,67,16,15.3,0.0
21,21,9,2023,19.9,72,5,13.7,0.0
22,21,9,2023,19.3,77,22,11.4,0.0
23,21,9,2023,18.7,80,14,9.9,0.0
0,22,9,2023,18.2,82,0,9.4,0.0
1,22,9,2023,17.6,85,0,7.3,0.0
2,22,9,2023,16.8,89,0,5.9,0.0
3,22,9,2023,16.0,89,2,5.9,0.0
4,22,9,2023,17.3,82,0,3.2,0.0
5,22,9,2023,15.3,89,0,3.6,0.0
6,22,9,2023,14.5,92,0,4.6,0.0
7,22,9,2023,14.7,91,0,4.5,0.0
8,22,9,2023,17.3,80,3,7.9,63.5
9,22,9,2023,19.9,70,10,5.9,208.6
10,22,9,2023,21.8,59,16,5.2,359.4
11,22,9,2023,23.4,51,14,5.0,491.3
12,22,9,2023,24.8,43,18,6.2,553.6
13,22,9,2023,26.1,36,6,7.6,594.8
14,22,9,2023,27.4,28,10,8.4,595.1
15,22,9,2023,27.6,33,0,10.2,524.6
16,22,9,2023,28.4,25,0,9.3,398.7
17,22,9,2023,28.6,22,0,7.2,249.5
18,22,9,2023,28.5,22,0,3.9,97.9
19,22,9,2023,27.6,24,2,3.3,0.0
20,22,9,2023,24.8,44,3,8.4,0.0
21,22,9,2023,23.2,61,0,10.1,0.0
22,22,9,2023,22.2,61,0,7.4,0.0
23,22,9,2023,21.1,65,0,5.2,0.0
0,23,9,2023,20.2,70,0,5.5,0.0
1,23,9,2023,19.9,72,0,5.8,0.0
2,23,9,2023,19.5,75,0,6.0,0.0
3,23,9,2023,21.3,66,0,4.3,0.0
4,23,9,2023,19.4,72,0,7.5,0.0
5,23,9,2023,19.2,71,0,7.4,0.0
6,23,9,2023,21.4,60,0,5.1,0.0
7,23,9,2023,21.3,58,0,4.4,0.0
8,23,9,2023,21.5,58,0,4.1,60.6
9,23,9,2023,23.4,50,0,2.6,205.2
10,23,9,2023,25.8,41,0,2.5,366.7
11,23,9,2023,27.7,36,0,3.9,499.1
12,23,9,2023,29.1,34,0,6.4,585.0
13,23,9,2023,30.0,33,0,8.4,618.0
14,23,9,2023,30.7,33,0,9.4,595.9
15,23,9,2023,32.2,31,0,3.9,518.7
16,23,9,2023,32.2,31,0,2.5,392.8
17,23,9,2023,31.7,29,0,13.2,243.8
18,23,9,2023,29.7,31,0,18.4,94.3
19,23,9,2023,26.3,42,0,17.4,0.0
20,23,9,2023,25.5,40,0,16.1,0.0
21,23,9,2023,24.8,36,0,14.8,0.0
22,23,9,2023,24.0,38,0,10.8,0.0
23,23,9,2023,23.2,39,0,8.4,0.0
0,24,9,2023,22.5,38,0,8.3,0.0
1,24,9,2023,22.0,37,0,7.9,0.0
2,24,9,2023,21.7,36,0,8.7,0.0
3,24,9,2023,21.4,44,0,8.7,0.0
4,24,9,2023,20.2,50,0,8.2,0.0
5,24,9,2023,19.6,56,0,8.4,0.0
6,24,9,2023,19.1,63,0,9.5,0.0
7,24,9,2023,18.7,69,0,11.2,0.0
8,24,9,2023,20.1,66,0,14.2,61.5
9,24,9,2023,23.3,59,0,12.8,205.7
10,24,9,2023,26.3,48,0,13.7,369.3
11,24,9,2023,28.5,39,0,14.5,504.7
12,24,9,2023,29.9,38,0,16.6,593.4
13,24,9,2023,30.5,36,0,19.1,625.9
14,24,9,2023,30.2,37,0,21.4,603.4
15,24,9,2023,30.6,41,0,22.2,526.7
16,24,9,2023,28.7,50,0,23.2,395.9
17,24,9,2023,26.2,63,0,25.6,245.6
18,24,9,2023,24.1,71,1,26.1,93.3
19,24,9,2023,22.3,84,1,24.5,0.0
20,24,9,2023,21.6,86,1,24.7,0.0
21,24,9,2023,21.3,87,1,22.4,0.0
22,24,9,2023,21.0,88,3,19.2,0.0
23,24,9,2023,20.7,89,5,16.9,0.0
0,25,9,2023,20.6,90,14,16.6,0.0
1,25,9,2023,20.6,89,6,18.1,0.0
2,25,9,2023,20.5,88,13,18.3,0.0
3,25,9,2023,21.2,82,90,18.4,0.0
4,25,9,2023,21.5,82,90,16.1,0.0
5,25,9,2023,21.7,81,87,18.8,0.0
6,25,9,2023,21.6,82,7,20.2,0.0
7,25,9,2023,21.1,84,4,21.2,0.0
8,25,9,2023,21.9,79,14,21.5,52.7
9,25,9,2023,23.5,70,42,26.7,173.6
10,25,9,2023,25.0,61,14,26.0,199.9
11,25,9,2023,26.3,56,23,25.9,385.7
12,25,9,2023,26.8,55,28,30.3,508.7
13,25,9,2023,27.1,55,45,33.4,533.0
14,25,9,2023,26.6,57,31,33.9,416.1
15,25,9,2023,26.6,63,52,32.9,413.0
16,25,9,2023,25.5,65,37,34.2,157.2
17,25,9,2023,24.2,70,43,35.0,86.2
18,25,9,2023,23.3,74,40,32.9,13.6
19,25,9,2023,22.5,79,31,29.3,0.0
20,25,9,2023,22.2,80,30,25.5,0.0
21,25,9,2023,22.0,81,31,24.7,0.0
22,25,9,2023,21.9,82,43,24.7,0.0
23,25,9,2023,21.8,82,49,25.0,0.0
0,26,9,2023,21.7,83,50,24.0,0.0
1,26,9,2023,21.7,82,42,23.0,0.0
2,26,9,2023,21.6,81,41,20.4,0.0
3,26,9,2023,21.4,73,32,21.4,0.0
4,26,9,2023,21.2,75,40,19.4,0.0
5,26,9,2023,21.3,76,31,18.1,0.0
6,26,9,2023,21.5,76,31,18.1,0.0
7,26,9,2023,21.6,76,50,18.3,0.0
8,26,9,2023,22.6,74,48,23.7,33.7
9,26,9,2023,23.8,69,31,29.6,92.9
10,26,9,2023,24.8,63,34,32.5,221.0
11,26,9,2023,25.6,59,23,33.6,321.4
12,26,9,2023,26.3,55,10,33.9,489.8
13,26,9,2023,26.6,54,58,34.9,578.3
14,26,9,2023,26.1,56,55,34.4,395.5
15,26,9,2023,26.6,55,31,27.1,384.7
16,26,9,2023,25.3,59,53,32.4,310.5
17,26,9,2023,24.4,61,52,34.8,193.8
18,26,9,2023,23.2,65,40,35.4,53.9
19,26,9,2023,22.3,72,36,32.6,0.0
20,26,9,2023,22.0,73,53,27.5,0.0
21,26,9,2023,22.2,72,14,26.5,0.0
22,26,9,2023,22.0,73,17,24.0,0.0
23,26,9,2023,21.8,75,4,21.1,0.0
0,27,9,2023,21.1,80,2,20.7,0.0
1,27,9,2023,20.8,83,11,21.2,0.0
2,27,9,2023,20.9,82,31,20.7,0.0
3,27,9,2023,20.5,80,18,19.4,0.0
4,27,9,2023,20.9,78,20,18.1,0.0
5,27,9,2023,20.8,78,50,20.4,0.0
6,27,9,2023,21.0,76,80,20.9,0.0
7,27,9,2023,21.5,75,22,21.2,0.0
8,27,9,2023,22.3,72,32,22.5,40.4
9,27,9,2023,23.7,66,20,30.0,137.8
10,27,9,2023,24.9,60,69,30.7,236.4
11,27,9,2023,25.1,59,74,28.5,79.8
12,27,9,2023,26.0,55,39,29.9,185.3
13,27,9,2023,26.7,53,43,31.6,342.1
14,27,9,2023,26.4,55,34,33.1,345.7
15,27,9,2023,25.6,64,74,31.6,354.5
16,27,9,2023,25.3,64,100,30.8,208.2
17,27,9,2023,24.4,65,71,28.6,38.0
18,27,9,2023,23.7,67,69,24.2,17.7
19,27,9,2023,22.8,72,99,20.6,0.0
20,27,9,2023,22.3,76,34,26.3,0.0
21,27,9,2023,21.8,78,30,22.9,0.0
22,27,9,2023,21.6,79,30,19.9,0.0
23,27,9,2023,21.3,80,34,19.1,0.0
0,28,9,2023,21.1,82,42,17.4,0.0
1,28,9,2023,20.9,83,31,14.8,0.0
2,28,9,2023,20.7,84,34,14.8,0.0
3,28,9,2023,20.1,90,97,22.1,0.0
4,28,9,2023,20.4,90,49,16.8,0.0
5,28,9,2023,20.1,90,52,19.2,0.0
6,28,9,2023,19.5,86,98,17.1,0.0
7,28,9,2023,19.5,87,48,10.5,0.0
8,28,9,2023,20.0,89,56,10.7,8.2
9,28,9,2023,21.2,85,44,11.2,19.7
10,28,9,2023,22.3,80,100,8.8,113.1
11,28,9,2023,22.8,77,99,16.9,38.3
12,28,9,2023,24.3,69,100,18.7,127.7
13,28,9,2023,25.2,64,55,20.7,146.3
14,28,9,2023,25.8,60,46,20.8,332.9
15,28,9,2023,21.1,84,31,7.1,257.0
16,28,9,2023,23.0,75,50,10.2,22.1
17,28,9,2023,23.1,75,59,10.7,26.6
18,28,9,2023,20.9,86,100,4.3,13.1
19,28,9,2023,20.2,91,100,9.0,0.0
20,28,9,2023,19.2,93,63,15.7,0.0
21,28,9,2023,19.1,90,45,10.0,0.0
22,28,9,2023,18.5,95,100,4.9,0.0
23,28,9,2023,18.7,94,100,10.5,0.0
0,29,9,2023,18.8,94,100,2.4,0.0
1,29,9,2023,18.7,95,72,1.5,0.0
2,29,9,2023,18.7,95,52,2.3,0.0
3,29,9,2023,18.7,96,100,2.3,0.0
4,29,9,2023,18.7,95,100,4.2,0.0
5,29,9,2023,18.9,95,100,2.0,0.0
6,29,9,2023,18.6,95,33,2.9,0.0
7,29,9,2023,18.3,96,55,3.3,0.0
8,29,9,2023,18.9,94,60,5.6,18.9
9,29,9,2023,19.8,90,58,4.5,44.9
10,29,9,2023,21.2,84,20,3.9,214.7
11,29,9,2023,22.4,77,95,4.1,310.8
12,29,9,2023,23.1,69,98,2.5,149.7
13,29,9,2023,23.9,66,34,6.2,298.6
14,29,9,2023,24.0,67,34,7.7,383.4
15,29,9,2023,23.5,65,42,11.9,365.1
16,29,9,2023,23.8,62,31,10.4,183.8
17,29,9,2023,23.7,61,22,12.0,135.7
18,29,9,2023,22.7,62,15,13.8,50.6
19,29,9,2023,21.1,69,4,10.5,0.0
20,29,9,2023,20.2,75,10,8.0,0.0
21,29,9,2023,19.6,80,13,6.1,0.0
22,29,9,2023,18.8,87,13,4.7,0.0
23,29,9,2023,18.1,92,16,6.2,0.0
0,30,9,2023,18.3,91,16,5.2,0.0
1,30,9,2023,17.9,92,15,1.8,0.0
2,30,9,2023,17.1,94,3,4.4,0.0
3,30,9,2023,18.3,89,13,7.3,0.0
4,30,9,2023,17.8,91,26,5.9,0.0
5,30,9,2023,17.4,94,100,4.8,0.0
6,30,9,2023,18.3,90,73,3.9,0.0
7,30,9,2023,18.1,91,46,5.4,0.0
8,30,9,2023,19.7,85,41,9.7,19.2
9,30,9,2023,19.9,82,100,13.0,75.4
10,30,9,2023,19.4,86,65,7.2,33.9
11,30,9,2023,19.2,88,100,6.6,32.8
12,30,9,2023,19.7,88,45,2.6,30.4
13,30,9,2023,22.0,76,78,3.8,300.6
14,30,9,2023,22.6,74,42,6.5,215.0
15,30,9,2023,23.7,66,10,14.3,318.2
16,30,9,2023,23.8,67,13,13.8,323.8
17,30,9,2023,23.8,61,31,14.1,159.2
18,30,9,2023,22.3,70,68,14.0,31.0
19,30,9,2023,19.4,87,85,6.2,0.0
20,30,9,2023,18.6,91,94,2.5,0.0
21,30,9,2023,19.0,91,43,8.7,0.0
22,30,9,2023,18.4,93,54,15.1,0.0
23,30,9,2023,18.3,94,51,12.2,0.0
0,1,10,2023,18.1,94,100,9.7,0.0
1,1,10,2023,18.4,93,100,10.6,0.0
2,1,10,2023,18.4,92,66,11.3,0.0
3,1,10,2023,18.3,94,100,13.8,0.0
4,1,10,2023,18.4,94,51,14.8,0.0
5,1,10,2023,18.5,93,74,15.7,0.0
6,1,10,2023,18.5,92,84,11.1,0.0
7,1,10,2023,18.2,93,100,14.2,0.0
8,1,10,2023,17.8,94,100,12.3,4.3
9,1,10,2023,18.3,92,89,16.3,0.0
10,1,10,2023,18.4,90,100,16.2,1.2
11,1,10,2023,19.1,86,96,20.0,25.2
12,1,10,2023,19.9,84,100,19.8,18.8
13,1,10,2023,19.3,84,100,18.4,36.3
14,1,10,2023,19.9,79,100,23.2,16.5
15,1,10,2023,19.2,87,100,27.4,61.5
16,1,10,2023,19.3,88,83,26.8,1.8
17,1,10,2023,18.9,90,94,25.9,23.9
18,1,10,2023,19.1,87,100,22.5,7.8
19,1,10,2023,17.6,93,100,18.2,0.0
20,1,10,2023,18.1,91,100,18.8,0.0
21,1,10,2023,18.1,92,100,17.9,0.0
22,1,10,2023,18.2,92,91,15.9,0.0
23,1,10,2023,18.5,92,100,14.4,0.0
0,2,10,2023,18.5,92,61,9.2,0.0
1,2,10,2023,18.0,89,36,8.0,0.0
2,2,10,2023,19.6,59,23,18.9,0.0
3,2,10,2023,20.6,59,27,23.3,0.0
4,2,10,2023,19.6,67,66,29.1,0.0
5,2,10,2023,19.5,71,62,22.2,0.0
6,2,10,2023,19.6,74,44,15.8,0.0
7,2,10,2023,17.5,84,28,19.1,0.0
8,2,10,2023,19.0,84,57,15.2,10.8
9,2,10,2023,20.4,85,100,18.6,75.9
10,2,10,2023,19.3,83,86,15.8,4.7
11,2,10,2023,20.1,76,100,17.6,109.6
12,2,10,2023,20.4,66,60,26.4,96.3
13,2,10,2023,21.1,66,56,27.1,150.3
14,2,10,2023,21.2,62,36,27.1,306.1
15,2,10,2023,20.3,70,93,27.0,350.4
16,2,10,2023,20.9,62,26,26.7,189.1
17,2,10,2023,20.5,61,13,27.2,159.7
18,2,10,2023,19.6,65,29,24.3,50.0
19,2,10,2023,18.8,67,18,22.1,0.0
20,2,10,2023,18.4,69,21,21.4,0.0
21,2,10,2023,18.0,64,18,18.2,0.0
22,2,10,2023,18.1,60,17,16.9,0.0
23,2,10,2023,18.1,61,39,17.3,0.0
0,3,10,2023,18.0,62,20,15.9,0.0
1,3,10,2023,18.0,62,11,14.1,0.0
2,3,10,2023,17.4,63,28,10.5,0.0
3,3,10,2023,18.2,63,22,14.0,0.0
4,3,10,2023,17.6,67,48,11.5,0.0
5,3,10,2023,17.7,66,33,10.5,0.0
6,3,10,2023,17.4,67,34,10.9,0.0
7,3,10,2023,17.1,68,13,9.5,0.0
8,3,10,2023,17.7,68,3,10.5,36.9
9,3,10,2023,19.9,62,27,14.5,144.2
10,3,10,2023,20.7,55,52,24.0,260.1
11,3,10,2023,20.9,55,60,24.5,269.6
12,3,10,2023,21.0,56,44,24.1,232.5
13,3,10,2023,21.6,52,100,22.8,200.6
14,3,10,2023,21.9,51,44,24.5,201.1
15,3,10,2023,22.6,49,23,22.6,308.2
16,3,10,2023,21.9,52,50,23.3,257.3
17,3,10,2023,21.2,54,2,20.3,98.1
18,3,10,2023,20.6,57,2,17.7,47.4
19,3,10,2023,19.2,62,1,15.1,0.0
20,3,10,2023,18.5,65,2,14.8,0.0
21,3,10,2023,18.1,67,3,13.3,0.0
22,3,10,2023,17.6,70,2,11.9,0.0
23,3,10,2023,17.0,75,1,11.7,0.0
0,4,10,2023,16.8,77,6,12.6,0.0
1,4,10,2023,16.7,78,8,11.5,0.0
2,4,10,2023,16.6,79,14,11.1,0.0
3,4,10,2023,16.0,83,1,10.7,0.0
4,4,10,2023,15.4,85,0,8.7,0.0
5,4,10,2023,14.9,83,0,7.7,0.0
6,4,10,2023,14.6,82,0,7.6,0.0
7,4,10,2023,14.1,84,0,6.6,0.0
8,4,10,2023,15.6,79,0,9.1,41.3
9,4,10,2023,18.1,70,2,10.5,176.9
10,4,10,2023,19.7,62,1,11.7,334.2
11,4,10,2023,20.9,58,24,13.3,467.1
12,4,10,2023,21.9,52,27,14.5,423.1
13,4,10,2023,22.4,49,8,15.1,482.9
14,4,10,2023,22.7,49,13,15.4,541.9
15,4,10,2023,22.8,48,7,14.8,446.6
16,4,10,2023,22.3,49,8,16.5,338.5
17,4,10,2023,21.3,52,0,16.8,194.0
18,4,10,2023,20.1,58,0,14.5,56.8
19,4,10,2023,18.4,64,0,11.5,0.0
20,4,10,2023,17.4,68,0,11.8,0.0
21,4,10,2023,16.8,71,0,12.2,0.0
22,4,10,2023,16.2,73,0,11.3,0.0
23,4,10,2023,15.6,74,0,11.3,0.0
0,5,10,2023,15.3,75,0,10.9,0.0
1,5,10,2023,14.9,77,0,10.8,0.0
2,5,10,2023,14.7,78,0,10.9,0.0
3,5,10,2023,13.9,85,3,8.5,0.0
4,5,10,2023,13.5,87,3,7.9,0.0
5,5,10,2023,13.7,88,4,8.4,0.0
6,5,10,2023,13.8,89,3,8.5,0.0
7,5,10,2023,13.7,89,5,7.8,0.0
8,5,10,2023,15.1,86,4,8.7,34.8
9,5,10,2023,17.4,80,9,8.7,154.6
10,5,10,2023,19.8,72,13,10.0,302.9
11,5,10,2023,21.5,60,42,16.8,431.1
12,5,10,2023,22.7,52,85,17.4,423.2
13,5,10,2023,23.1,51,56,17.2,352.8
14,5,10,2023,23.5,50,35,17.8,457.2
15,5,10,2023,23.9,51,63,13.0,411.9
