hour,day,month,year,temperature(°C),humidity(%),cloudcover(%),windspeed(km/h),irrediance(W/m²),Predicted_Consumption_kWh
22,4,10,2024,16.2,73,0,11.3,0.0,5.203786895623927
23,4,10,2024,15.6,74,0,11.3,0.0,5.20919745811621
0,5,10,2024,15.3,75,0,10.9,0.0,5.883071862311297
1,5,10,2024,14.9,77,0,10.8,0.0,5.883071862311297
2,5,10,2024,14.7,78,0,10.9,0.0,5.883071862311297
3,5,10,2024,13.9,85,3,8.5,0.0,5.875057093926216
4,5,10,2024,13.5,87,3,7.9,0.0,5.86889960030799
5,5,10,2024,13.7,88,4,8.4,0.0,5.868690572355263
6,5,10,2024,13.8,89,3,8.5,0.0,5.868690572355263
7,5,10,2024,13.7,89,5,7.8,0.0,5.868690572355263
8,5,10,2024,15.1,86,4,8.7,34.8,5.899274606629266
9,5,10,2024,17.4,80,9,8.7,154.6,5.880015445803542
10,5,10,2024,19.8,72,13,10.0,302.9,5.880669615504489
11,5,10,2024,21.5,60,42,16.8,431.1,5.8780904430562115
12,5,10,2024,22.7,52,85,17.4,423.2,5.872446809470286
13,5,10,2024,23.1,51,56,17.2,352.8,5.872446809470286
14,5,10,2024,23.5,50,35,17.8,457.2,5.872446809470286
15,5,10,2024,23.9,51,63,13.0,411.9,5.872446809470286
16,5,10,2024,23.1,54,48,21.3,280.2,5.872446809470286
17,5,10,2024,21.6,59,30,23.6,154.0,5.873210139621663
18,5,10,2024,20.6,64,30,21.9,40.1,5.2455002450382775
19,5,10,2024,19.7,68,31,18.4,0.0,5.226362926092594
20,5,10,2024,19.2,70,31,18.7,0.0,5.226362926092594
21,5,10,2024,18.8,72,31,15.2,0.0,5.227170592487769
22,5,10,2024,18.3,75,30,13.8,0.0,5.227170592487769
23,5,10,2024,17.7,78,30,11.1,0.0,5.232241353575326
0,6,10,2024,17.2,81,28,10.3,0.0,5.8665852976349715
1,6,10,2024,16.9,83,6,9.9,0.0,5.8665852976349715
2,6,10,2024,16.4,85,0,9.4,0.0,5.8692247177055785
3,6,10,2024,16.7,85,15,8.7,0.0,5.8665852976349715
4,6,10,2024,16.3,87,31,8.9,0.0,5.8649804629434295
5,6,10,2024,16.2,88,14,8.9,0.0,5.865111236395429
6,6,10,2024,15.8,89,20,7.4,0.0,5.865111236395429
7,6,10,2024,15.2,90,9,6.0,0.0,5.865111236395429
8,6,10,2024,16.3,88,13,6.3,32.7,5.869274224505972
9,6,10,2024,18.5,82,21,4.8,138.9,5.874149778478712
10,6,10,2024,20.5,77,21,5.7,259.8,5.88101934909713
11,6,10,2024,22.1,64,54,12.2,352.3,5.8786764545032355
12,6,10,2024,23.1,57,40,16.0,423.2,5.874511107096378
13,6,10,2024,23.5,53,82,17.9,422.3,5.868867473510453
14,6,10,2024,23.4,52,80,19.2,327.0,5.868867473510453
15,6,10,2024,23.6,51,5,19.1,276.8,5.868867473510453
16,6,10,2024,22.8,55,4,19.2,320.0,5.868867473510453
17,6,10,2024,21.9,59,0,18.4,178.4,5.8761838816823175
18,6,10,2024,20.9,64,0,17.1,47.5,5.210594003351077
19,6,10,2024,19.5,71,22,17.0,0.0,5.22278359013276
20,6,10,2024,19.2,74,34,17.9,0.0,5.22278359013276
21,6,10,2024,19.1,74,34,17.6,0.0,5.223591256527936
22,6,10,2024,19.1,74,34,17.0,0.0,5.223591256527936
23,6,10,2024,19.2,75,39,16.6,0.0,5.228662017615492
0,7,10,2024,18.9,78,57,17.3,0.0,5.847139518094919
1,7,10,2024,18.2,85,39,18.9,0.0,5.855408737400141
2,7,10,2024,17.8,88,40,15.5,0.0,5.851743178791036
3,7,10,2024,17.0,91,60,16.6,0.0,5.851743178791036
4,7,10,2024,17.0,92,26,15.5,0.0,5.851743178791036
5,7,10,2024,17.3,91,55,15.1,0.0,5.851743178791036
6,7,10,2024,17.8,89,51,15.6,0.0,5.851743178791036
7,7,10,2024,17.5,89,34,14.5,0.0,5.851743178791036
8,7,10,2024,17.9,87,15,15.4,24.0,5.855775393449579
9,7,10,2024,19.5,78,4,18.5,136.7,5.851302506205462
10,7,10,2024,20.9,69,32,21.0,295.4,5.858827434427611
11,7,10,2024,21.9,62,12,20.5,354.7,5.858827434427611
12,7,10,2024,22.7,57,12,19.7,422.2,5.858827434427611
13,7,10,2024,23.2,53,14,19.1,449.5,5.853183800841686
14,7,10,2024,23.4,51,21,19.1,422.9,5.853183800841686
15,7,10,2024,23.8,50,12,19.3,423.3,5.853183800841686
16,7,10,2024,23.0,52,0,20.3,309.0,5.855510745128573
17,7,10,2024,22.1,55,0,17.2,180.0,5.854856575427625
18,7,10,2024,20.9,60,0,15.0,46.4,5.19491033068231
19,7,10,2024,19.0,66,0,12.4,0.0,5.183876584050566
20,7,10,2024,18.0,71,0,11.0,0.0,5.185183765905353
21,7,10,2024,17.2,78,0,9.3,0.0,5.180283703852362
22,7,10,2024,16.6,83,0,8.2,0.0,5.174595879754168
23,7,10,2024,15.9,86,0,7.4,0.0,5.188010607856553
0,8,10,2024,15.1,88,0,6.9,0.0,5.854276955024504
1,8,10,2024,14.5,88,0,7.1,0.0,5.854276955024504
2,8,10,2024,13.6,89,0,8.2,0.0,5.854276955024504
3,8,10,2024,13.7,92,0,8.4,0.0,5.854276955024504
4,8,10,2024,15.7,84,0,7.2,0.0,5.8581210295845025
5,8,10,2024,15.4,89,0,7.6,0.0,5.854276955024504
6,8,10,2024,15.3,91,0,7.3,0.0,5.854276955024504
7,8,10,2024,16.2,90,1,6.5,0.0,5.849427563726662
8,8,10,2024,15.7,93,10,6.2,30.7,5.853590551837205
9,8,10,2024,18.4,84,18,5.2,141.3,5.858466105809945
10,8,10,2024,20.1,75,0,8.5,311.0,5.863733551162776
11,8,10,2024,21.4,65,0,13.2,450.4,5.861154378714498
12,8,10,2024,22.1,62,0,15.8,535.5,5.861154378714498
13,8,10,2024,22.3,64,0,18.6,563.3,5.861154378714498
14,8,10,2024,22.2,69,1,20.4,537.2,5.858827434427611
15,8,10,2024,22.8,65,0,19.9,455.4,5.861154378714498
16,8,10,2024,22.9,59,0,18.4,333.8,5.861154378714498
17,8,10,2024,22.3,62,2,17.7,183.2,5.8581732647266636
18,8,10,2024,21.2,68,0,15.3,44.3,5.19491033068231
19,8,10,2024,20.2,74,0,12.6,0.0,5.183876584050566
20,8,10,2024,20.1,77,0,12.8,0.0,5.183876584050566
21,8,10,2024,20.4,74,0,15.0,0.0,5.180283703852362
22,8,10,2024,20.5,76,5,16.3,0.0,5.1959000456296005
23,8,10,2024,20.6,72,9,15.9,0.0,5.212978344946725
0,9,10,2024,19.9,77,44,10.7,0.0,5.852612047356564
1,9,10,2024,19.4,72,16,8.4,0.0,5.856589449064399
2,9,10,2024,19.0,64,15,13.5,0.0,5.847139518094919
3,9,10,2024,18.8,84,100,30.1,0.0,5.855111558818236
4,9,10,2024,18.3,84,100,33.3,0.0,5.855111558818236
5,9,10,2024,17.9,82,44,31.8,0.0,5.855111558818236
6,9,10,2024,17.4,80,100,28.2,0.0,5.86079938291643
7,9,10,2024,17.3,74,100,27.1,0.0,5.86079938291643
8,9,10,2024,17.2,70,100,25.8,0.0,5.86079938291643
9,9,10,2024,17.4,65,100,25.4,0.0,5.86079938291643
10,9,10,2024,17.6,61,100,26.7,0.0,5.86079938291643
11,9,10,2024,17.9,55,100,27.4,9.9,5.855155749330505
12,9,10,2024,17.6,55,63,25.2,2.1,5.855155749330505
13,9,10,2024,18.2,53,100,25.5,9.1,5.855155749330505
14,9,10,2024,18.6,51,100,24.0,103.7,5.855389782289351
15,9,10,2024,18.4,50,100,21.7,67.7,5.859615916022952
16,9,10,2024,17.7,51,100,19.6,60.0,5.859615916022952
17,9,10,2024,17.2,54,79,19.4,54.1,5.859615916022952
18,9,10,2024,16.5,56,22,17.8,13.2,5.201456283878068
19,9,10,2024,15.6,60,1,14.7,0.0,5.188456568598257
20,9,10,2024,14.7,65,10,12.2,0.0,5.241087757739263
21,9,10,2024,14.1,69,28,11.4,0.0,5.241895424134438
22,9,10,2024,13.9,70,8,9.9,0.0,5.241895424134438
23,9,10,2024,13.5,72,10,8.0,0.0,5.250730167689132
0,10,10,2024,13.0,75,11,6.9,0.0,5.8995881158029615
1,10,10,2024,12.8,76,11,6.8,0.0,5.8995881158029615
2,10,10,2024,12.6,77,3,6.5,0.0,5.902278029147746
3,10,10,2024,12.6,79,0,6.1,0.0,5.908534042987108
4,10,10,2024,11.3,86,5,10.0,0.0,5.919005471454688
5,10,10,2024,12.1,85,4,8.2,0.0,5.919005471454688
6,10,10,2024,12.4,86,15,7.6,0.0,5.8992401919219875
7,10,10,2024,15.4,76,38,4.5,0.0,5.859058332644083
8,10,10,2024,14.4,84,6,3.7,13.2,5.8534188407012495
9,10,10,2024,16.6,74,58,3.6,141.0,5.858328860423215
10,10,10,2024,17.9,71,60,4.7,140.5,5.858328860423215
11,10,10,2024,19.0,66,7,9.5,222.1,5.84220974628652
12,10,10,2024,19.9,60,12,11.0,464.3,5.859031362279523
13,10,10,2024,20.8,55,71,10.2,473.5,5.849410326985763
14,10,10,2024,20.9,55,100,10.2,221.9,5.839459469513962
15,10,10,2024,22.0,44,43,10.4,93.5,5.861061891739145
16,10,10,2024,21.2,46,19,13.0,280.5,5.852816004529667
17,10,10,2024,19.6,56,29,19.7,139.2,5.843283628023171
18,10,10,2024,18.5,59,15,17.6,25.1,5.223861991813311
19,10,10,2024,17.2,63,2,15.9,0.0,5.1815013394542
20,10,10,2024,16.7,66,0,16.2,0.0,5.1815013394542
21,10,10,2024,16.5,67,4,17.6,0.0,5.193524801033234
22,10,10,2024,16.2,67,9,17.7,0.0,5.209772522405767
23,10,10,2024,15.9,67,28,16.8,0.0,5.21518308489805
0,11,10,2024,15.7,65,30,16.1,0.0,5.84363985463651
1,11,10,2024,15.5,62,29,14.3,0.0,5.84363985463651
2,11,10,2024,14.6,65,35,7.7,0.0,5.8351553404947385
3,11,10,2024,15.4,65,11,14.6,0.0,5.84363985463651
4,11,10,2024,14.8,74,3,13.8,0.0,5.84363985463651
5,11,10,2024,14.4,75,8,12.5,0.0,5.837825560347786
6,11,10,2024,13.9,75,19,9.2,0.0,5.839132742202573
7,11,10,2024,14.5,70,44,13.0,0.0,5.84363985463651
8,11,10,2024,15.2,73,37,21.4,19.9,5.84363985463651
9,11,10,2024,16.0,70,37,24.2,79.7,5.843576709013451
10,11,10,2024,17.0,67,39,25.5,193.9,5.83868424868204
11,11,10,2024,18.0,62,46,28.9,217.8,5.83868424868204
12,11,10,2024,18.4,61,49,31.5,277.8,5.8393384183829875
13,11,10,2024,18.5,60,97,31.7,302.2,5.8393384183829875
14,11,10,2024,18.2,60,100,31.4,48.4,5.83868424868204
15,11,10,2024,19.7,49,77,29.6,72.2,5.819083571692699
16,11,10,2024,19.0,49,39,29.0,102.3,5.819083571692699
17,11,10,2024,18.3,52,53,30.8,79.6,5.833040615096115
18,11,10,2024,17.3,55,2,25.8,17.7,5.168168890687164
19,11,10,2024,16.4,57,1,19.8,0.0,5.168640494931843
20,11,10,2024,16.3,56,3,18.4,0.0,5.166403370190849
21,11,10,2024,16.7,56,2,18.6,0.0,5.159403981147714
22,11,10,2024,16.4,64,1,16.6,0.0,5.1650476147336395
23,11,10,2024,16.0,64,3,13.7,0.0,5.174698360368887
0,12,10,2024,15.8,72,20,14.3,0.0,5.84363985463651
1,12,10,2024,16.0,75,6,15.0,0.0,5.84363985463651
2,12,10,2024,16.0,74,5,14.4,0.0,5.84363985463651
3,12,10,2024,15.9,74,4,13.2,0.0,5.84363985463651
4,12,10,2024,15.8,75,1,14.0,0.0,5.84363985463651
5,12,10,2024,15.6,77,1,12.0,0.0,5.839132742202573
6,12,10,2024,15.4,77,0,10.4,0.0,5.84145968648946
7,12,10,2024,14.9,76,5,8.4,0.0,5.839132742202573
8,12,10,2024,16.0,74,1,8.5,22.2,5.839132742202573
9,12,10,2024,18.2,69,1,12.3,144.9,5.837096088126918
10,12,10,2024,19.7,66,2,12.5,299.6,5.8377502578278655
11,12,10,2024,21.3,56,14,14.5,409.5,5.83083463364845
12,12,10,2024,22.3,50,32,13.7,474.9,5.83083463364845
13,12,10,2024,22.6,49,12,13.6,493.5,5.83083463364845
14,12,10,2024,23.0,47,4,15.4,479.2,5.832842081932797
15,12,10,2024,22.4,57,37,18.4,413.3,5.836478267234375
16,12,10,2024,21.2,64,9,21.7,160.1,5.835824097533427
17,12,10,2024,20.1,66,0,21.3,157.8,5.831280283299113
18,12,10,2024,19.0,67,0,19.4,30.5,5.172803483042386
19,12,10,2024,17.8,73,0,16.1,0.0,5.168640494931843
20,12,10,2024,17.1,76,0,14.5,0.0,5.168640494931843
21,12,10,2024,16.5,78,1,12.0,0.0,5.1650476147336395
22,12,10,2024,15.9,81,0,9.4,0.0,5.163939775183136
23,12,10,2024,15.2,85,0,7.7,0.0,5.17277451873783
0,13,10,2024,14.7,88,0,7.2,0.0,5.838152241300721
1,13,10,2024,14.4,89,0,7.3,0.0,5.838152241300721
2,13,10,2024,14.3,90,0,7.6,0.0,5.838152241300721
3,13,10,2024,13.6,91,77,5.0,0.0,5.829325448295044
4,13,10,2024,12.4,93,82,4.0,0.0,5.894908034479405
5,13,10,2024,11.8,92,79,3.4,0.0,5.925783722010259
6,13,10,2024,11.3,93,79,3.0,0.0,5.925783722010259
7,13,10,2024,11.1,93,77,1.6,0.0,5.9768498705256174
8,13,10,2024,12.0,89,71,2.3,13.3,5.94078452985461
9,13,10,2024,14.1,91,64,2.3,73.5,5.847121603485373
10,13,10,2024,17.1,78,0,0.4,259.6,5.921498890371297
11,13,10,2024,18.8,70,5,4.3,421.8,5.849210962704579
12,13,10,2024,19.9,64,10,3.9,481.3,5.849210962704579
13,13,10,2024,20.6,63,2,5.8,501.5,5.849210962704579
14,13,10,2024,20.9,63,1,8.0,498.4,5.852152651673307
15,13,10,2024,21.4,54,1,8.4,421.2,5.8465090180873815
16,13,10,2024,21.5,54,0,7.7,305.0,5.8488359623742685
17,13,10,2024,21.3,56,0,3.9,157.8,5.852110862225795
18,13,10,2024,19.8,70,0,3.2,29.4,5.188028170386237
19,13,10,2024,17.8,73,0,6.8,0.0,5.17993611272322
20,13,10,2024,16.3,81,10,7.0,0.0,5.201711805181417
21,13,10,2024,15.8,85,30,6.2,0.0,5.2015520911265325
22,13,10,2024,15.7,86,30,5.6,0.0,5.2015520911265325
23,13,10,2024,15.7,85,68,5.4,0.0,5.206622852214089
0,14,10,2024,15.7,85,60,5.2,0.0,5.829849338907177
1,14,10,2024,14.9,89,60,5.8,0.0,5.823482817336224
2,14,10,2024,15.1,88,62,8.4,0.0,5.823482817336224
3,14,10,2024,15.1,89,13,8.7,0.0,5.827460219044059
4,14,10,2024,14.5,90,30,8.1,0.0,5.827460219044059
5,14,10,2024,14.8,91,26,10.0,0.0,5.827460219044059
6,14,10,2024,15.0,91,2,10.7,0.0,5.827460219044059
7,14,10,2024,15.0,91,1,10.4,0.0,5.827460219044059
8,14,10,2024,15.4,91,0,11.4,20.1,5.832309610341901
9,14,10,2024,17.4,83,0,11.0,137.8,5.838825705414228
10,14,10,2024,19.5,75,0,12.3,289.7,5.840459024625385
11,14,10,2024,21.1,64,7,14.2,417.6,5.836860089745008
12,14,10,2024,22.2,58,27,13.8,475.1,5.836860089745008
13,14,10,2024,23.0,55,19,13.5,432.0,5.8312164561590825
14,14,10,2024,23.3,54,4,12.8,451.8,5.839359205273775
15,14,10,2024,23.1,48,5,17.3,396.0,5.8312164561590825
16,14,10,2024,21.9,51,4,20.0,291.5,5.8312164561590825
17,14,10,2024,20.5,59,1,18.8,150.2,5.829335161522859
18,14,10,2024,19.1,70,0,18.0,26.5,5.179027936511838
19,14,10,2024,17.9,77,0,15.6,0.0,5.174864948401296
20,14,10,2024,17.3,80,0,14.0,0.0,5.174864948401296
21,14,10,2024,16.8,83,0,11.7,0.0,5.165584244104898
22,14,10,2024,16.2,87,0,8.9,0.0,5.169824427247862
23,14,10,2024,15.6,89,0,7.7,0.0,5.1787899442545555
0,15,10,2024,15.3,89,0,7.1,0.0,5.826429606844304
1,15,10,2024,14.8,90,0,6.4,0.0,5.826429606844304
2,15,10,2024,14.3,91,0,5.9,0.0,5.826429606844304
3,15,10,2024,13.6,94,27,5.0,0.0,5.8215802155464615
4,15,10,2024,12.8,96,58,4.2,0.0,5.883688130764588
5,15,10,2024,13.0,94,73,2.1,0.0,5.893919805111177
6,15,10,2024,12.7,91,79,2.2,0.0,5.899259705328397
7,15,10,2024,12.8,92,89,1.6,0.0,5.934754279279947
8,15,10,2024,13.9,90,90,2.5,2.2,5.817602813838627
9,15,10,2024,15.0,90,90,0.8,32.2,5.82965088480635
10,15,10,2024,17.4,89,56,5.6,148.6,5.822975797312805
11,15,10,2024,19.6,74,44,10.7,357.2,5.829581856987853
12,15,10,2024,20.3,70,27,10.8,430.0,5.833559258695688
13,15,10,2024,20.6,70,4,11.3,490.3,5.833559258695688
14,15,10,2024,20.8,67,0,11.5,489.3,5.835886202982575
15,15,10,2024,21.8,65,1,11.8,413.2,5.84043001721689
16,15,10,2024,21.6,63,0,11.3,290.1,5.842756961503777
17,15,10,2024,21.1,63,0,10.7,147.9,5.842102791802829
18,15,10,2024,19.6,71,0,8.7,24.6,5.180335118366625
19,15,10,2024,17.5,85,0,5.7,0.0,5.174248288625026
20,15,10,2024,17.0,89,1,7.0,0.0,5.174379062077025
21,15,10,2024,16.7,91,2,8.2,0.0,5.165715017556898
22,15,10,2024,17.2,91,1,6.8,0.0,5.169479000024035
23,15,10,2024,17.4,90,0,6.9,0.0,5.174549761111591
0,16,10,2024,17.3,90,0,7.3,0.0,5.804582144905494
1,16,10,2024,18.2,88,4,9.0,0.0,5.7997327536076515
2,16,10,2024,18.5,86,12,10.2,0.0,5.803398312216756
3,16,10,2024,18.3,86,0,15.3,0.0,5.810232368937579
4,16,10,2024,18.1,83,8,14.5,0.0,5.807905424650692
5,16,10,2024,17.9,83,14,13.7,0.0,5.807905424650692
6,16,10,2024,17.6,85,64,9.8,0.0,5.799420910508921
7,16,10,2024,17.4,87,82,6.5,0.0,5.795624578447817
