hour,day,month,year,temperature(°C),humidity(%),cloudcover(%),windspeed(km/h),irrediance(W/m²),Predicted_Consumption_kWh
21,17,10,2024,15.8,61,88,16.3,0.0,5.182134793908293
22,17,10,2024,16.1,60,91,16.9,0.0,5.182134793908293
23,17,10,2024,16.4,59,93,16.3,0.0,5.1786445917113335
0,18,10,2024,16.3,63,100,16.0,0.0,5.82477985178414
1,18,10,2024,16.2,66,100,14.7,0.0,5.82477985178414
2,18,10,2024,15.7,73,94,16.6,0.0,5.8251196531888665
3,18,10,2024,15.2,72,100,9.2,0.0,5.816635139047095
4,18,10,2024,14.8,84,100,15.9,0.0,5.819431829090672
5,18,10,2024,14.6,88,100,15.7,0.0,5.809563932847538
6,18,10,2024,14.5,89,100,14.7,0.0,5.809563932847538
7,18,10,2024,14.6,89,100,16.7,0.0,5.809563932847538
8,18,10,2024,14.2,89,100,21.7,0.0,5.809563932847538
9,18,10,2024,14.4,86,66,21.9,0.0,5.819431829090672
10,18,10,2024,14.9,83,66,23.3,0.0,5.819431829090672
11,18,10,2024,15.5,79,100,21.0,6.6,5.8251196531888665
12,18,10,2024,15.7,76,93,18.5,11.5,5.8251196531888665
13,18,10,2024,16.1,72,94,18.8,6.0,5.8251196531888665
14,18,10,2024,16.0,71,97,19.0,4.8,5.8251196531888665
15,18,10,2024,17.7,64,47,20.6,1.8,5.807382023921449
16,18,10,2024,17.3,74,100,19.0,149.0,5.811545012031992
17,18,10,2024,15.9,78,28,21.3,11.1,5.8251196531888665
18,18,10,2024,15.2,82,57,17.7,6.6,5.182273247523493
19,18,10,2024,14.2,87,12,16.3,0.0,5.211681103251071
20,18,10,2024,14.1,88,20,12.3,0.0,5.211472075298344
21,18,10,2024,14.0,88,27,15.1,0.0,5.21227974169352
22,18,10,2024,13.6,89,75,10.5,0.0,5.21227974169352
23,18,10,2024,14.3,86,34,11.0,0.0,5.217559530733803
0,19,10,2024,14.1,89,49,14.3,0.0,5.813065307519719
1,19,10,2024,14.2,88,22,13.7,0.0,5.813065307519719
2,19,10,2024,13.6,90,26,10.2,0.0,5.808558195085783
3,19,10,2024,14.6,90,56,12.4,0.0,5.803273611523161
4,19,10,2024,14.1,92,100,9.0,0.0,5.801079418705767
5,19,10,2024,14.1,93,100,6.8,0.0,5.801079418705767
6,19,10,2024,14.3,91,61,6.2,0.0,5.804580793377948
7,19,10,2024,13.9,92,21,6.3,0.0,5.808558195085783
8,19,10,2024,14.1,90,26,7.5,9.1,5.808558195085783
9,19,10,2024,15.7,88,24,9.2,95.6,5.816122675929523
10,19,10,2024,17.1,79,7,4.1,236.8,5.817665867909289
11,19,10,2024,18.1,73,64,5.5,365.8,5.807643737143643
12,19,10,2024,18.0,74,77,12.2,124.9,5.801753316035434
13,19,10,2024,18.2,74,100,15.5,256.6,5.8121991817329395
14,19,10,2024,17.9,74,70,13.1,181.5,5.811545012031992
15,19,10,2024,18.9,70,12,8.7,205.0,5.807037899598056
16,19,10,2024,19.1,68,16,5.9,247.8,5.811621138851478
17,19,10,2024,18.5,70,30,7.2,122.7,5.807037899598056
18,19,10,2024,16.9,81,30,4.6,5.5,5.168189862259149
19,19,10,2024,15.6,88,30,6.7,0.0,5.1765417975909385
20,19,10,2024,15.7,87,28,5.4,0.0,5.176750825543666
21,19,10,2024,14.9,89,22,6.8,0.0,5.211602476431776
22,19,10,2024,14.6,88,1,7.2,0.0,5.1884198441538505
23,19,10,2024,15.0,88,0,6.9,0.0,5.189049357512526
0,20,10,2024,15.7,89,0,8.8,0.0,5.772240319561904
1,20,10,2024,15.9,89,0,10.3,0.0,5.772240319561904
2,20,10,2024,16.2,87,1,11.4,0.0,5.767260154812062
3,20,10,2024,16.2,82,0,19.4,0.0,5.7802517051511115
4,20,10,2024,16.1,83,0,18.5,0.0,5.78443477517188
5,20,10,2024,16.3,83,0,18.1,0.0,5.7802517051511115
6,20,10,2024,16.5,82,0,18.1,0.0,5.772030543271322
7,20,10,2024,16.5,80,0,20.1,0.0,5.777718367369516
8,20,10,2024,16.7,78,0,22.2,11.5,5.768541701386615
9,20,10,2024,17.6,74,0,25.0,120.5,5.763951797536278
10,20,10,2024,18.3,69,0,26.6,267.1,5.764605967237226
11,20,10,2024,19.0,66,1,26.6,390.3,5.748321979546923
12,20,10,2024,19.8,63,0,25.9,470.3,5.75064892383381
13,20,10,2024,20.5,60,0,25.1,496.1,5.75064892383381
14,20,10,2024,21.0,60,0,24.2,467.1,5.757519682355012
15,20,10,2024,21.6,62,0,24.0,385.7,5.757519682355012
16,20,10,2024,22.0,61,0,22.5,265.3,5.762343619164195
17,20,10,2024,21.9,63,0,20.0,126.4,5.765618404614944
18,20,10,2024,21.0,62,0,19.1,13.5,5.097248178391174
19,20,10,2024,20.6,66,0,20.5,0.0,5.090377419869973
20,20,10,2024,20.6,70,0,21.4,0.0,5.090377419869973
21,20,10,2024,20.5,73,0,21.4,0.0,5.086784539671769
22,20,10,2024,20.1,76,0,19.7,0.0,5.086784539671769
23,20,10,2024,19.9,77,0,20.1,0.0,5.091855300759326
0,21,10,2024,19.9,74,0,22.3,0.0,5.7545846579832
1,21,10,2024,19.8,73,0,22.6,0.0,5.7545846579832
2,21,10,2024,19.6,74,0,22.4,0.0,5.7545846579832
3,21,10,2024,19.0,80,0,19.6,0.0,5.7545846579832
4,21,10,2024,18.9,79,0,18.8,0.0,5.7545846579832
5,21,10,2024,18.9,78,1,18.6,0.0,5.752257713696313
6,21,10,2024,18.9,78,0,19.2,0.0,5.7545846579832
7,21,10,2024,18.9,77,0,19.2,0.0,5.7545846579832
8,21,10,2024,19.0,77,0,18.9,11.5,5.7545846579832
9,21,10,2024,20.2,74,0,19.4,119.7,5.758747646093743
10,21,10,2024,21.2,69,0,20.6,267.6,5.766272574315892
11,21,10,2024,21.8,66,0,20.4,391.7,5.766272574315892
12,21,10,2024,22.4,62,0,19.9,471.5,5.766272574315892
13,21,10,2024,23.0,60,0,19.2,497.1,5.766272574315892
14,21,10,2024,23.5,58,0,18.9,467.9,5.766272574315892
15,21,10,2024,23.9,56,0,18.4,387.2,5.764609919466792
16,21,10,2024,23.6,59,0,16.2,264.8,5.766272574315892
17,21,10,2024,22.9,63,0,15.0,124.2,5.765618404614944
18,21,10,2024,21.7,62,0,12.2,11.8,5.097248178391174
19,21,10,2024,20.8,64,0,10.6,0.0,5.09168460172476
20,21,10,2024,20.5,67,0,10.3,0.0,5.09168460172476
21,21,10,2024,19.9,72,0,9.7,0.0,5.086784539671769
22,21,10,2024,18.8,80,1,7.4,0.0,5.090548522138906
23,21,10,2024,17.9,86,1,7.1,0.0,5.089931459128269
0,22,10,2024,18.3,88,1,8.5,0.0,5.763906996847297
1,22,10,2024,18.2,90,0,8.2,0.0,5.768756388145139
2,22,10,2024,17.9,90,0,7.4,0.0,5.768756388145139
3,22,10,2024,17.6,90,0,8.4,0.0,5.768756388145139
4,22,10,2024,17.2,92,0,8.4,0.0,5.768756388145139
5,22,10,2024,16.8,93,0,7.1,0.0,5.768756388145139
6,22,10,2024,15.4,96,0,8.7,0.0,5.794986799400635
7,22,10,2024,15.9,95,0,7.1,0.0,5.794986799400635
8,22,10,2024,16.7,94,3,6.1,9.3,5.763906996847297
9,22,10,2024,19.1,89,13,8.9,117.5,5.771471477691037
10,22,10,2024,20.4,80,7,9.9,254.8,5.7780775373660855
11,22,10,2024,21.5,68,30,11.1,368.7,5.784948295887287
12,22,10,2024,22.2,62,30,10.1,385.5,5.784948295887287
13,22,10,2024,22.9,56,30,11.2,354.2,5.783285641038187
14,22,10,2024,23.1,55,30,10.5,357.8,5.783285641038187
15,22,10,2024,23.9,45,3,8.7,235.6,5.7887206169713155
16,22,10,2024,23.8,45,0,8.2,263.4,5.791047561258202
17,22,10,2024,22.9,51,3,7.2,123.4,5.78263147133724
18,22,10,2024,19.5,63,9,6.5,10.4,5.130224652494127
19,22,10,2024,17.8,67,2,8.7,0.0,5.103237336613563
20,22,10,2024,17.5,68,10,8.1,0.0,5.12646067002699
21,22,10,2024,17.1,71,2,8.7,0.0,5.098337274560572
22,22,10,2024,16.7,74,0,9.7,0.0,5.098337274560572
23,22,10,2024,16.4,76,0,10.1,0.0,5.103408035648129
0,23,10,2024,17.3,73,0,8.8,0.0,5.775587323841482
1,23,10,2024,17.0,75,0,9.4,0.0,5.775587323841482
2,23,10,2024,17.7,73,15,7.9,0.0,5.773260379554595
3,23,10,2024,16.7,86,27,7.9,0.0,5.767572555456401
4,23,10,2024,15.8,90,27,10.1,0.0,5.790137408102793
5,23,10,2024,16.0,90,18,8.9,0.0,5.790137408102793
6,23,10,2024,15.3,93,2,9.4,0.0,5.790137408102793
7,23,10,2024,16.6,92,16,6.8,0.0,5.763906996847297
8,23,10,2024,17.5,92,23,7.5,7.0,5.763906996847297
9,23,10,2024,19.4,86,31,10.0,87.5,5.7751370363001415
10,23,10,2024,20.7,75,30,9.1,186.6,5.777423367665138
11,23,10,2024,21.7,68,30,8.4,221.6,5.7681266798942845
12,23,10,2024,22.6,66,30,8.3,223.8,5.7681266798942845
13,23,10,2024,23.4,64,30,8.7,256.6,5.784948295887287
14,23,10,2024,23.8,61,32,8.7,225.6,5.76414927818645
15,23,10,2024,24.5,57,25,7.1,280.3,5.784948295887287
16,23,10,2024,23.9,62,21,7.4,245.1,5.784948295887287
17,23,10,2024,23.0,67,46,5.4,102.6,5.784245794030979
18,23,10,2024,20.5,82,47,5.2,3.1,5.124536828395933
19,23,10,2024,19.5,85,20,3.8,0.0,5.124536828395933
20,23,10,2024,17.8,92,13,7.4,0.0,5.124667601847933
21,23,10,2024,18.7,88,1,5.8,0.0,5.096544206381515
22,23,10,2024,18.3,89,0,5.4,0.0,5.096544206381515
23,23,10,2024,18.9,85,0,5.5,0.0,5.101484194017072
0,24,10,2024,15.5,91,0,8.1,0.0,5.814502151335036
1,24,10,2024,15.8,86,0,5.9,0.0,5.8221894945110755
2,24,10,2024,18.1,73,0,4.5,0.0,5.794431680438709
3,24,10,2024,15.4,89,1,8.0,0.0,5.809652760037194
4,24,10,2024,15.2,93,0,8.7,0.0,5.814502151335036
5,24,10,2024,15.8,93,0,8.3,0.0,5.814502151335036
6,24,10,2024,16.1,93,0,7.1,0.0,5.814502151335036
7,24,10,2024,15.1,96,0,9.4,0.0,5.814502151335036
8,24,10,2024,16.0,93,0,5.9,7.0,5.814502151335036
9,24,10,2024,18.4,87,1,4.9,107.2,5.78625599128379
10,24,10,2024,19.7,83,0,6.6,246.0,5.793033437332729
11,24,10,2024,20.8,78,0,7.4,363.7,5.795319768697725
12,24,10,2024,21.8,75,0,8.2,441.4,5.802190527218927
13,24,10,2024,22.3,75,11,9.2,466.8,5.79986358293204
14,24,10,2024,22.1,76,25,12.3,440.4,5.798556401077253
15,24,10,2024,21.7,77,31,11.0,342.3,5.79986358293204
16,24,10,2024,22.4,73,31,8.9,216.7,5.799209413231092
17,24,10,2024,21.8,76,32,5.5,81.3,5.799161081075732
18,24,10,2024,20.8,82,30,3.0,2.8,5.139452115440686
19,24,10,2024,20.3,84,28,4.9,0.0,5.139452115440686
20,24,10,2024,17.6,95,30,6.4,0.0,5.1395828888926856
21,24,10,2024,17.0,96,32,5.2,0.0,5.139083373433074
22,24,10,2024,16.3,97,44,4.6,0.0,5.185028727036329
23,24,10,2024,15.6,98,77,5.9,0.0,5.150917381673328
0,25,10,2024,15.5,98,87,7.9,0.0,5.805675358329359
1,25,10,2024,15.5,99,100,7.1,0.0,5.802173983657178
2,25,10,2024,16.2,99,100,4.7,0.0,5.802173983657178
3,25,10,2024,17.0,98,94,4.8,0.0,5.771343507512033
4,25,10,2024,15.7,99,100,5.5,0.0,5.802173983657178
5,25,10,2024,16.7,99,100,9.1,0.0,5.771343507512033
6,25,10,2024,17.4,97,100,13.0,0.0,5.779828021653804
7,25,10,2024,17.3,97,62,13.8,0.0,5.7833293963259855
8,25,10,2024,17.3,95,32,12.2,0.0,5.7735377003294275
9,25,10,2024,18.1,90,39,16.3,11.8,5.7833293963259855
10,25,10,2024,18.9,85,41,18.1,42.3,5.7972554242347245
11,25,10,2024,19.6,80,35,19.5,351.7,5.783542893441359
12,25,10,2024,20.2,75,38,19.7,406.8,5.783542893441359
13,25,10,2024,20.7,70,37,20.0,152.9,5.782888723740411
14,25,10,2024,21.7,64,29,22.0,150.3,5.789759482261613
15,25,10,2024,22.8,59,29,21.9,347.5,5.79041365196256
16,25,10,2024,22.6,66,34,20.0,177.4,5.789759482261613
17,25,10,2024,21.9,70,29,17.4,48.9,5.789759482261613
18,25,10,2024,21.4,69,31,20.5,1.9,5.146939533738157
19,25,10,2024,21.5,72,32,22.8,0.0,5.146939533738157
20,25,10,2024,21.3,72,30,21.4,0.0,5.146939533738157
21,25,10,2024,20.8,74,32,18.8,0.0,5.140876441612131
22,25,10,2024,20.8,75,34,16.8,0.0,5.140876441612131
23,25,10,2024,20.4,78,32,14.3,0.0,5.145947202699688
0,26,10,2024,20.4,76,31,17.8,0.0,5.797844406296941
1,26,10,2024,21.3,64,35,24.5,0.0,5.804417986236238
2,26,10,2024,21.6,59,48,26.5,0.0,5.804417986236238
3,26,10,2024,21.4,59,62,23.2,0.0,5.804715164818143
4,26,10,2024,21.0,63,49,24.6,0.0,5.804417986236238
5,26,10,2024,20.9,64,90,25.3,0.0,5.804417986236238
6,26,10,2024,21.4,59,71,27.0,0.0,5.804417986236238
7,26,10,2024,21.2,60,35,21.4,0.0,5.804715164818143
8,26,10,2024,21.1,58,32,21.0,2.4,5.804715164818143
9,26,10,2024,22.0,56,38,21.2,22.3,5.803052509969043
10,26,10,2024,23.0,55,33,20.0,163.4,5.807215498079586
11,26,10,2024,23.8,50,32,23.0,219.8,5.803286542927889
12,26,10,2024,24.1,48,37,26.4,180.8,5.802989364345985
13,26,10,2024,24.3,49,46,30.8,282.7,5.803643534046932
14,26,10,2024,24.2,50,66,30.6,184.9,5.802989364345985
15,26,10,2024,23.7,52,50,32.1,37.5,5.802989364345985
16,26,10,2024,23.7,52,45,30.9,189.7,5.802989364345985
17,26,10,2024,22.3,59,49,27.2,66.2,5.8046520191950846
18,26,10,2024,22.0,58,77,28.6,1.0,5.16605820440523
19,26,10,2024,21.5,61,44,29.2,0.0,5.16605820440523
20,26,10,2024,20.7,67,46,25.3,0.0,5.1591874458840286
21,26,10,2024,20.7,69,74,25.3,0.0,5.159995112279204
22,26,10,2024,20.6,72,32,22.3,0.0,5.159995112279204
23,26,10,2024,20.0,75,35,19.8,0.0,5.1650658733667605
0,27,10,2024,19.8,77,16,19.7,0.0,5.800072506265261
1,27,10,2024,19.8,74,19,19.4,0.0,5.800072506265261
2,27,10,2024,19.6,74,6,16.2,0.0,5.800072506265261
3,27,10,2024,19.4,73,28,15.9,0.0,5.800072506265261
4,27,10,2024,19.9,75,15,20.4,0.0,5.800072506265261
5,27,10,2024,19.7,75,8,18.1,0.0,5.800072506265261
6,27,10,2024,19.4,76,20,15.9,0.0,5.800072506265261
7,27,10,2024,19.2,77,36,14.3,0.0,5.800072506265261
8,27,10,2024,19.2,79,39,16.4,4.8,5.800072506265261
9,27,10,2024,20.1,76,46,19.5,12.0,5.800072506265261
10,27,10,2024,21.4,69,28,20.9,163.7,5.811106252897005
11,27,10,2024,22.2,66,16,22.2,304.5,5.807831467446256
12,27,10,2024,22.8,65,30,22.3,362.8,5.807831467446256
13,27,10,2024,23.4,63,24,20.6,297.8,5.811760422597953
14,27,10,2024,24.1,61,5,20.6,391.8,5.811760422597953
15,27,10,2024,24.4,61,12,16.8,344.2,5.811760422597953
16,27,10,2024,24.8,60,19,17.3,137.2,5.811106252897005
17,27,10,2024,24.4,61,28,21.3,88.1,5.811106252897005
18,27,10,2024,23.2,62,53,19.3,1.1,5.184573714115027
19,27,10,2024,23.3,61,31,24.1,0.0,5.184573714115027
20,27,10,2024,23.0,63,30,25.5,0.0,5.16605820440523
21,27,10,2024,22.1,69,23,20.2,0.0,5.166865870800406
22,27,10,2024,21.8,69,4,24.4,0.0,5.1548583325708375
23,27,10,2024,21.9,65,0,29.8,0.0,5.137882887561263
0,28,10,2024,21.7,67,0,30.3,0.0,5.8152873305779424
1,28,10,2024,21.4,69,4,29.2,0.0,5.8129603862910555
2,28,10,2024,21.2,70,6,30.0,0.0,5.8129603862910555
3,28,10,2024,21.0,70,5,31.5,0.0,5.8129603862910555
4,28,10,2024,21.4,75,7,29.1,0.0,5.8129603862910555
5,28,10,2024,21.2,75,26,28.5,0.0,5.817487144518334
6,28,10,2024,21.0,75,32,27.8,0.0,5.817487144518334
7,28,10,2024,20.9,75,32,28.0,0.0,5.817487144518334
8,28,10,2024,20.9,75,20,27.5,2.4,5.817487144518334
9,28,10,2024,21.9,71,30,30.5,87.5,5.81772117747718
10,28,10,2024,22.5,69,24,25.9,212.6,5.81772117747718
11,28,10,2024,23.2,66,10,25.2,331.4,5.813848588950849
12,28,10,2024,23.8,64,4,24.9,380.8,5.813848588950849
13,28,10,2024,24.4,62,0,23.0,432.6,5.820999470046919
14,28,10,2024,24.8,60,0,18.9,420.6,5.824928425198616
15,28,10,2024,25.1,60,0,13.9,342.1,5.824928425198616
16,28,10,2024,25.3,64,6,16.9,176.4,5.821947311210781
17,28,10,2024,24.8,66,1,13.7,88.2,5.821947311210781
18,28,10,2024,23.4,69,1,10.5,1.2,5.148553246840473
19,28,10,2024,22.4,70,1,8.5,0.0,5.148553246840473
20,28,10,2024,22.0,71,0,8.4,0.0,5.148553246840473
21,28,10,2024,21.2,73,3,7.4,0.0,5.14741716725462
22,28,10,2024,20.6,76,5,7.1,0.0,5.162592614830549
23,28,10,2024,19.6,83,2,7.5,0.0,5.139929345722781
0,29,10,2024,18.8,88,21,8.4,0.0,5.823645815364693
1,29,10,2024,19.1,88,18,6.4,0.0,5.823645815364693
2,29,10,2024,18.4,91,23,6.7,0.0,5.823645815364693
3,29,10,2024,18.1,91,33,7.7,0.0,5.819668413656858
4,29,10,2024,17.4,93,46,9.2,0.0,5.819668413656858
5,29,10,2024,17.2,93,45,9.5,0.0,5.819668413656858
6,29,10,2024,17.4,92,56,8.0,0.0,5.819668413656858
7,29,10,2024,17.3,93,36,7.6,0.0,5.819668413656858
8,29,10,2024,17.4,93,34,7.3,0.0,5.819668413656858
9,29,10,2024,19.9,84,24,4.1,54.7,5.834875854817538
10,29,10,2024,21.6,77,31,4.8,196.0,5.84796201425621
11,29,10,2024,22.3,73,55,4.6,164.7,5.843984612548375
12,29,10,2024,22.9,73,79,4.1,208.4,5.843984612548375
13,29,10,2024,23.2,71,98,4.4,195.2,5.843984612548375
14,29,10,2024,23.6,69,20,3.3,218.4,5.84796201425621
15,29,10,2024,23.4,69,67,7.0,252.5,5.840709712696849
16,29,10,2024,23.4,69,37,15.0,117.4,5.834583013734257
17,29,10,2024,21.9,75,36,15.7,38.0,5.834583013734257
18,29,10,2024,20.2,84,31,14.8,0.0,5.176976382623086
19,29,10,2024,19.2,92,27,16.8,0.0,5.177107156075086
20,29,10,2024,19.0,95,9,18.5,0.0,5.177107156075086
21,29,10,2024,18.9,96,24,17.6,0.0,5.177914822470261
22,29,10,2024,18.9,95,87,17.1,0.0,5.177914822470261
23,29,10,2024,18.7,97,92,15.0,0.0,5.17320963360092
0,30,10,2024,18.6,97,92,13.1,0.0,5.853799202264511
1,30,10,2024,18.4,98,91,12.4,0.0,5.844007506267953
2,30,10,2024,18.2,99,92,12.8,0.0,5.844007506267953
3,30,10,2024,18.1,99,90,13.8,0.0,5.853799202264511
4,30,10,2024,17.8,98,90,14.0,0.0,5.853799202264511
5,30,10,2024,17.6,97,1,14.0,0.0,5.853799202264511
6,30,10,2024,17.4,96,1,15.8,0.0,5.853799202264511
7,30,10,2024,17.6,95,1,16.3,0.0,5.853799202264511
8,30,10,2024,17.8,95,10,15.0,2.5,5.853799202264511
9,30,10,2024,19.4,88,40,19.0,64.4,5.847406639704836
10,30,10,2024,20.7,81,30,19.7,102.5,5.851072198313941
11,30,10,2024,22.5,68,37,20.2,221.6,5.844061841908084
12,30,10,2024,23.6,64,14,19.0,301.1,5.860883457901086
13,30,10,2024,24.2,62,21,20.4,399.4,5.860883457901086
14,30,10,2024,23.8,64,17,23.4,351.1,5.856657324167485
15,30,10,2024,23.1,67,18,23.5,281.5,5.856657324167485
16,30,10,2024,23.3,66,5,19.9,170.7,5.860229288200139
17,30,10,2024,21.1,76,8,20.6,87.7,5.860229288200139
18,30,10,2024,19.6,83,5,19.0,0.0,5.195015665452779
19,30,10,2024,19.1,87,3,18.6,0.0,5.172969459355648
20,30,10,2024,18.8,89,4,17.3,0.0,5.195146438904779
21,30,10,2024,18.4,91,7,15.3,0.0,5.199160550342764
22,30,10,2024,18.1,93,8,11.5,0.0,5.203561096936143
23,30,10,2024,17.8,94,5,9.8,0.0,5.186848369837234
0,31,10,2024,17.5,94,4,8.7,0.0,5.849292089830575
