hour,day,month,year,Consumption_kWh,temperature(°C),humidity(%),cloudcover(%),windspeed(km/h),irrediance(W/m²)
21,7,10,2023,4.421505130356126,17.2,78,0,9.3,0.0
22,7,10,2023,4.465768565618131,16.6,83,0,8.2,0.0
23,7,10,2023,4.8540786047278655,15.9,86,0,7.4,0.0
0,8,10,2023,4.461776710298604,15.1,88,0,6.9,0.0
1,8,10,2023,5.398100613455062,14.5,88,0,7.1,0.0
2,8,10,2023,4.658752900018444,13.6,89,0,8.2,0.0
3,8,10,2023,4.948079105822377,13.7,92,0,8.4,0.0
4,8,10,2023,4.907431083056316,15.7,84,0,7.2,0.0
5,8,10,2023,5.161880505573661,15.4,89,0,7.6,0.0
6,8,10,2023,4.615211100160044,15.3,91,0,7.3,0.0
7,8,10,2023,5.130285354651467,16.2,90,1,6.5,0.0
8,8,10,2023,5.520819593952695,15.7,93,10,6.2,30.7
9,8,10,2023,4.673948686982778,18.4,84,18,5.2,141.3
10,8,10,2023,5.06216873003358,20.1,75,0,8.5,311.0
11,8,10,2023,4.849246643681829,21.4,65,0,13.2,450.4
12,8,10,2023,5.12121398967924,22.1,62,0,15.8,535.5
13,8,10,2023,5.019529132484919,22.3,64,0,18.6,563.3
14,8,10,2023,4.854370460869903,22.2,69,1,20.4,537.2
15,8,10,2023,5.1367102593487495,22.8,65,0,19.9,455.4
16,8,10,2023,5.465829215577667,22.9,59,0,18.4,333.8
17,8,10,2023,4.967016240199157,22.3,62,2,17.7,183.2
18,8,10,2023,4.694681673668026,21.2,68,0,15.3,44.3
19,8,10,2023,4.19142394866319,20.2,74,0,12.6,0.0
20,8,10,2023,4.275633093926479,20.1,77,0,12.8,0.0
21,8,10,2023,4.632843757601076,20.4,74,0,15.0,0.0
22,8,10,2023,4.885771195264972,20.5,76,5,16.3,0.0
23,8,10,2023,4.603645525327396,20.6,72,9,15.9,0.0
0,9,10,2023,4.9409408522987,19.9,77,44,10.7,0.0
1,9,10,2023,5.019028211285327,19.4,72,16,8.4,0.0
2,9,10,2023,4.706603426437059,19.0,64,15,13.5,0.0
3,9,10,2023,5.17033419151833,18.8,84,100,30.1,0.0
4,9,10,2023,5.23978862551034,18.3,84,100,33.3,0.0
5,9,10,2023,4.906182776721218,17.9,82,44,31.8,0.0
6,9,10,2023,4.901694822989613,17.4,80,100,28.2,0.0
7,9,10,2023,5.085674917342501,17.3,74,100,27.1,0.0
8,9,10,2023,4.91002542591934,17.2,70,100,25.8,0.0
9,9,10,2023,5.002672206273033,17.4,65,100,25.4,0.0
10,9,10,2023,5.544135807221117,17.6,61,100,26.7,0.0
11,9,10,2023,4.957448934742989,17.9,55,100,27.4,9.9
12,9,10,2023,4.929620321924183,17.6,55,63,25.2,2.1
13,9,10,2023,4.857319908520698,18.2,53,100,25.5,9.1
14,9,10,2023,5.205253352804473,18.6,51,100,24.0,103.7
15,9,10,2023,4.973899316624963,18.4,50,100,21.7,67.7
16,9,10,2023,4.856862100349132,17.7,51,100,19.6,60.0
17,9,10,2023,5.349531367997741,17.2,54,79,19.4,54.1
18,9,10,2023,4.874106111057897,16.5,56,22,17.8,13.2
19,9,10,2023,4.369099468494812,15.6,60,1,14.7,0.0
20,9,10,2023,4.052570372089335,14.7,65,10,12.2,0.0
21,9,10,2023,4.771083782388719,14.1,69,28,11.4,0.0
22,9,10,2023,4.348047903489487,13.9,70,8,9.9,0.0
23,9,10,2023,4.716861759720181,13.5,72,10,8.0,0.0
0,10,10,2023,4.531728726301956,13.0,75,11,6.9,0.0
1,10,10,2023,5.247404015304742,12.8,76,11,6.8,0.0
2,10,10,2023,4.721461698409719,12.6,77,3,6.5,0.0
3,10,10,2023,5.206945710496545,12.6,79,0,6.1,0.0
4,10,10,2023,5.027822947689023,11.3,86,5,10.0,0.0
5,10,10,2023,4.785769825880753,12.1,85,4,8.2,0.0
6,10,10,2023,4.922495602498219,12.4,86,15,7.6,0.0
7,10,10,2023,5.19583429496909,15.4,76,38,4.5,0.0
8,10,10,2023,5.050728294008723,14.4,84,6,3.7,13.2
9,10,10,2023,5.170357925848036,16.6,74,58,3.6,141.0
10,10,10,2023,5.518364826858786,17.9,71,60,4.7,140.5
11,10,10,2023,4.633194277802152,19.0,66,7,9.5,222.1
12,10,10,2023,5.42855782447207,19.9,60,12,11.0,464.3
13,10,10,2023,5.050343665110717,20.8,55,71,10.2,473.5
14,10,10,2023,4.799558668649132,20.9,55,100,10.2,221.9
15,10,10,2023,4.691676274295167,22.0,44,43,10.4,93.5
16,10,10,2023,4.976974583035656,21.2,46,19,13.0,280.5
17,10,10,2023,5.254667208711029,19.6,56,29,19.7,139.2
18,10,10,2023,4.492367400635531,18.5,59,15,17.6,25.1
19,10,10,2023,4.902043413291751,17.2,63,2,15.9,0.0
20,10,10,2023,4.161460758217024,16.7,66,0,16.2,0.0
21,10,10,2023,4.5212324437684,16.5,67,4,17.6,0.0
22,10,10,2023,4.211156319626634,16.2,67,9,17.7,0.0
23,10,10,2023,4.615162651386156,15.9,67,28,16.8,0.0
0,11,10,2023,5.251610503881322,15.7,65,30,16.1,0.0
1,11,10,2023,4.924698207936734,15.5,62,29,14.3,0.0
2,11,10,2023,4.3788351922002136,14.6,65,35,7.7,0.0
3,11,10,2023,5.079625693056121,15.4,65,11,14.6,0.0
4,11,10,2023,5.139073294290375,14.8,74,3,13.8,0.0
5,11,10,2023,5.130962345097421,14.4,75,8,12.5,0.0
6,11,10,2023,5.338834204312535,13.9,75,19,9.2,0.0
7,11,10,2023,4.762125236444735,14.5,70,44,13.0,0.0
8,11,10,2023,5.199942682719609,15.2,73,37,21.4,19.9
9,11,10,2023,5.32801553447649,16.0,70,37,24.2,79.7
10,11,10,2023,4.585241760355368,17.0,67,39,25.5,193.9
11,11,10,2023,5.109801612836742,18.0,62,46,28.9,217.8
12,11,10,2023,4.90384369860508,18.4,61,49,31.5,277.8
13,11,10,2023,5.009507988081586,18.5,60,97,31.7,302.2
14,11,10,2023,5.116807777241581,18.2,60,100,31.4,48.4
15,11,10,2023,4.908081515328609,19.7,49,77,29.6,72.2
16,11,10,2023,4.860961636566595,19.0,49,39,29.0,102.3
17,11,10,2023,5.038426760729003,18.3,52,53,30.8,79.6
18,11,10,2023,4.258077171641297,17.3,55,2,25.8,17.7
19,11,10,2023,4.258432374135701,16.4,57,1,19.8,0.0
20,11,10,2023,4.699731977096123,16.3,56,3,18.4,0.0
21,11,10,2023,4.242690147567334,16.7,56,2,18.6,0.0
22,11,10,2023,4.6964667815843,16.4,64,1,16.6,0.0
23,11,10,2023,4.6455364795704845,16.0,64,3,13.7,0.0
0,12,10,2023,4.604653937429059,15.8,72,20,14.3,0.0
1,12,10,2023,4.866714456542795,16.0,75,6,15.0,0.0
2,12,10,2023,5.334632970388551,16.0,74,5,14.4,0.0
3,12,10,2023,4.790814236841788,15.9,74,4,13.2,0.0
4,12,10,2023,4.9200045540493615,15.8,75,1,14.0,0.0
5,12,10,2023,5.151620842939682,15.6,77,1,12.0,0.0
6,12,10,2023,5.2319532469473575,15.4,77,0,10.4,0.0
7,12,10,2023,4.973220898115584,14.9,76,5,8.4,0.0
8,12,10,2023,4.886728070953798,16.0,74,1,8.5,22.2
9,12,10,2023,5.391698085051335,18.2,69,1,12.3,144.9
10,12,10,2023,5.470830535576103,19.7,66,2,12.5,299.6
11,12,10,2023,5.280820132322157,21.3,56,14,14.5,409.5
12,12,10,2023,5.057435155267965,22.3,50,32,13.7,474.9
13,12,10,2023,4.834039189216477,22.6,49,12,13.6,493.5
14,12,10,2023,4.828494517987567,23.0,47,4,15.4,479.2
15,12,10,2023,5.166734145943147,22.4,57,37,18.4,413.3
16,12,10,2023,5.140705174848879,21.2,64,9,21.7,160.1
17,12,10,2023,5.386505267863315,20.1,66,0,21.3,157.8
18,12,10,2023,4.698718142760743,19.0,67,0,19.4,30.5
19,12,10,2023,4.160335544186753,17.8,73,0,16.1,0.0
20,12,10,2023,4.799092524057438,17.1,76,0,14.5,0.0
21,12,10,2023,4.286590462798105,16.5,78,1,12.0,0.0
22,12,10,2023,4.44011280163862,15.9,81,0,9.4,0.0
23,12,10,2023,4.598655671189632,15.2,85,0,7.7,0.0
0,13,10,2023,5.5418206032855855,14.7,88,0,7.2,0.0
1,13,10,2023,5.820383369840934,14.4,89,0,7.3,0.0
2,13,10,2023,5.19458449562364,14.3,90,0,7.6,0.0
3,13,10,2023,4.997104576159497,13.6,91,77,5.0,0.0
4,13,10,2023,5.176530142959732,12.4,93,82,4.0,0.0
5,13,10,2023,5.264817587308053,11.8,92,79,3.4,0.0
6,13,10,2023,4.962736824450296,11.3,93,79,3.0,0.0
7,13,10,2023,5.491706569817675,11.1,93,77,1.6,0.0
8,13,10,2023,5.100421420637445,12.0,89,71,2.3,13.3
9,13,10,2023,5.1673395031124425,14.1,91,64,2.3,73.5
10,13,10,2023,5.20938479385321,17.1,78,0,0.4,259.6
11,13,10,2023,5.148300383493208,18.8,70,5,4.3,421.8
12,13,10,2023,5.252638855956997,19.9,64,10,3.9,481.3
13,13,10,2023,4.888590434202864,20.6,63,2,5.8,501.5
14,13,10,2023,4.903328292353087,20.9,63,1,8.0,498.4
15,13,10,2023,4.767865172596671,21.4,54,1,8.4,421.2
16,13,10,2023,5.152779038494651,21.5,54,0,7.7,305.0
17,13,10,2023,5.237637856717623,21.3,56,0,3.9,157.8
18,13,10,2023,4.657346947377565,19.8,70,0,3.2,29.4
19,13,10,2023,4.961526839176479,17.8,73,0,6.8,0.0
20,13,10,2023,4.541504726132333,16.3,81,10,7.0,0.0
21,13,10,2023,4.710089144737722,15.8,85,30,6.2,0.0
22,13,10,2023,4.269978511804766,15.7,86,30,5.6,0.0
23,13,10,2023,4.446128805220994,15.7,85,68,5.4,0.0
0,14,10,2023,5.22416541771662,15.7,85,60,5.2,0.0
1,14,10,2023,5.262556506010961,14.9,89,60,5.8,0.0
2,14,10,2023,4.976789241409129,15.1,88,62,8.4,0.0
3,14,10,2023,5.032381165360658,15.1,89,13,8.7,0.0
4,14,10,2023,4.670812541654973,14.5,90,30,8.1,0.0
5,14,10,2023,4.961023678123523,14.8,91,26,10.0,0.0
6,14,10,2023,5.272876769205121,15.0,91,2,10.7,0.0
7,14,10,2023,5.194082232351816,15.0,91,1,10.4,0.0
8,14,10,2023,5.175447408670477,15.4,91,0,11.4,20.1
9,14,10,2023,5.062724400120414,17.4,83,0,11.0,137.8
10,14,10,2023,5.052046767982219,19.5,75,0,12.3,289.7
11,14,10,2023,4.885200693456813,21.1,64,7,14.2,417.6
12,14,10,2023,5.224988083375809,22.2,58,27,13.8,475.1
13,14,10,2023,5.155524214422522,23.0,55,19,13.5,432.0
14,14,10,2023,5.173285690323375,23.3,54,4,12.8,451.8
15,14,10,2023,4.91877226765828,23.1,48,5,17.3,396.0
16,14,10,2023,4.511945248357364,21.9,51,4,20.0,291.5
17,14,10,2023,5.3245691562636,20.5,59,1,18.8,150.2
18,14,10,2023,4.430571614323075,19.1,70,0,18.0,26.5
19,14,10,2023,4.334587037314394,17.9,77,0,15.6,0.0
20,14,10,2023,4.723650706303673,17.3,80,0,14.0,0.0
21,14,10,2023,4.452277818345392,16.8,83,0,11.7,0.0
22,14,10,2023,4.81526507433683,16.2,87,0,8.9,0.0
23,14,10,2023,4.70453246571935,15.6,89,0,7.7,0.0
0,15,10,2023,5.229127509837352,15.3,89,0,7.1,0.0
1,15,10,2023,4.716746251237099,14.8,90,0,6.4,0.0
2,15,10,2023,5.361221175383833,14.3,91,0,5.9,0.0
3,15,10,2023,5.123547811845697,13.6,94,27,5.0,0.0
4,15,10,2023,4.965915894225682,12.8,96,58,4.2,0.0
5,15,10,2023,5.094082295872796,13.0,94,73,2.1,0.0
6,15,10,2023,4.614176370812653,12.7,91,79,2.2,0.0
7,15,10,2023,5.160398381907401,12.8,92,89,1.6,0.0
8,15,10,2023,4.800892301991715,13.9,90,90,2.5,2.2
9,15,10,2023,4.7200676075763495,15.0,90,90,0.8,32.2
10,15,10,2023,4.67764538248276,17.4,89,56,5.6,148.6
11,15,10,2023,5.336407272784714,19.6,74,44,10.7,357.2
12,15,10,2023,4.900919330614036,20.3,70,27,10.8,430.0
13,15,10,2023,5.441667106516357,20.6,70,4,11.3,490.3
14,15,10,2023,4.924284813274158,20.8,67,0,11.5,489.3
15,15,10,2023,4.631395689638996,21.8,65,1,11.8,413.2
16,15,10,2023,4.779104069050068,21.6,63,0,11.3,290.1
17,15,10,2023,5.367188084038967,21.1,63,0,10.7,147.9
18,15,10,2023,4.519260634553066,19.6,71,0,8.7,24.6
19,15,10,2023,4.421163354914583,17.5,85,0,5.7,0.0
20,15,10,2023,4.59823973550043,17.0,89,1,7.0,0.0
21,15,10,2023,4.683680863079119,16.7,91,2,8.2,0.0
22,15,10,2023,4.837584883012848,17.2,91,1,6.8,0.0
23,15,10,2023,4.920359986510465,17.4,90,0,6.9,0.0
0,16,10,2023,4.976821817752534,17.3,90,0,7.3,0.0
1,16,10,2023,4.735252057679296,18.2,88,4,9.0,0.0
2,16,10,2023,4.963397688918986,18.5,86,12,10.2,0.0
3,16,10,2023,5.131834105845528,18.3,86,0,15.3,0.0
4,16,10,2023,4.8258242476471525,18.1,83,8,14.5,0.0
5,16,10,2023,4.827476250476045,17.9,83,14,13.7,0.0
6,16,10,2023,5.152710949587277,17.6,85,64,9.8,0.0
7,16,10,2023,5.054600891307193,17.4,87,82,6.5,0.0
8,16,10,2023,5.074963228052702,17.8,86,50,9.9,2.2
9,16,10,2023,4.8771401455247885,19.0,77,48,10.7,52.0
10,16,10,2023,5.009163800648364,20.0,69,100,18.5,202.4
11,16,10,2023,4.83570569313273,17.2,77,100,28.5,43.0
12,16,10,2023,5.289313581981002,16.6,72,100,31.1,69.2
13,16,10,2023,5.325576312880743,16.0,73,100,31.4,10.1
14,16,10,2023,4.605217013640282,15.8,74,100,27.4,3.9
15,16,10,2023,4.834386264151704,15.1,79,100,20.1,3.7
16,16,10,2023,4.692631665427286,14.7,87,100,23.8,0.0
17,16,10,2023,4.904257995598081,14.1,82,61,25.1,0.0
18,16,10,2023,4.545904486752216,13.9,82,62,21.2,0.0
19,16,10,2023,4.204352674275173,13.5,87,61,18.2,0.0
20,16,10,2023,4.3362990259184775,13.8,83,64,17.1,0.0
21,16,10,2023,4.315774636179431,13.8,83,77,15.5,0.0
22,16,10,2023,4.618580811549542,14.0,81,82,14.6,0.0
23,16,10,2023,4.584100063458868,14.2,80,88,14.6,0.0
0,17,10,2023,4.895430466669397,14.4,77,58,13.8,0.0
1,17,10,2023,5.120070073038559,14.0,77,55,13.2,0.0
2,17,10,2023,4.939194833856893,13.7,75,17,13.2,0.0
3,17,10,2023,5.007951077422196,14.4,69,94,18.3,0.0
4,17,10,2023,5.494227877578344,13.9,71,100,15.6,0.0
5,17,10,2023,5.410980117951297,13.9,72,96,15.3,0.0
6,17,10,2023,4.75096954577181,14.1,72,32,17.2,0.0
7,17,10,2023,5.283297959473504,13.9,73,33,17.4,0.0
8,17,10,2023,5.278713993626607,13.8,77,71,18.1,11.3
9,17,10,2023,4.788799032815556,15.3,71,51,19.5,42.4
10,17,10,2023,5.280559265942425,16.5,65,65,20.4,183.6
11,17,10,2023,5.460347834606848,17.3,61,82,23.6,196.5
12,17,10,2023,4.795228653442607,17.6,60,100,24.3,132.2
13,17,10,2023,4.846489149750144,18.1,58,100,24.8,165.1
14,17,10,2023,5.3302802217145855,18.5,54,100,23.3,79.2
15,17,10,2023,5.143738682710122,19.6,44,35,17.6,34.1
16,17,10,2023,5.213733923813591,19.8,42,97,18.6,211.0
17,17,10,2023,5.161012159103834,18.0,53,35,25.7,25.3
18,17,10,2023,4.673538835235746,17.3,55,65,20.3,0.7
19,17,10,2023,4.244246822925939,16.5,59,57,18.8,0.0
20,17,10,2023,4.837694281659072,16.2,57,55,14.5,0.0
21,17,10,2023,4.868262353110653,15.8,61,88,16.3,0.0
22,17,10,2023,4.518517168986703,16.1,60,91,16.9,0.0
23,17,10,2023,4.564995617550244,16.4,59,93,16.3,0.0
0,18,10,2023,4.702758237714445,16.3,63,100,16.0,0.0
1,18,10,2023,5.214098802357834,16.2,66,100,14.7,0.0
2,18,10,2023,5.228549473781912,15.7,73,94,16.6,0.0
3,18,10,2023,5.069987359103548,15.2,72,100,9.2,0.0
4,18,10,2023,5.366623453321002,14.8,84,100,15.9,0.0
5,18,10,2023,5.002015805608391,14.6,88,100,15.7,0.0
6,18,10,2023,5.226686594826776,14.5,89,100,14.7,0.0
7,18,10,2023,4.8306190286803465,14.6,89,100,16.7,0.0
8,18,10,2023,5.079647075634816,14.2,89,100,21.7,0.0
9,18,10,2023,5.041946548877667,14.4,86,66,21.9,0.0
10,18,10,2023,5.141862093863611,14.9,83,66,23.3,0.0
11,18,10,2023,4.993153381145036,15.5,79,100,21.0,6.6
12,18,10,2023,5.052666964435459,15.7,76,93,18.5,11.5
13,18,10,2023,5.292046906213752,16.1,72,94,18.8,6.0
14,18,10,2023,4.976344054043821,16.0,71,97,19.0,4.8
15,18,10,2023,4.683890838168706,17.7,64,47,20.6,1.8
16,18,10,2023,5.5229310894047305,17.3,74,100,19.0,149.0
17,18,10,2023,5.430898633025997,15.9,78,28,21.3,11.1
18,18,10,2023,4.262469439576971,15.2,82,57,17.7,6.6
19,18,10,2023,4.7579620646646745,14.2,87,12,16.3,0.0
20,18,10,2023,4.45979142071554,14.1,88,20,12.3,0.0
21,18,10,2023,4.651406917186141,14.0,88,27,15.1,0.0
22,18,10,2023,4.659091145606749,13.6,89,75,10.5,0.0
23,18,10,2023,4.526933163274295,14.3,86,34,11.0,0.0
0,19,10,2023,4.89983047626718,14.1,89,49,14.3,0.0
1,19,10,2023,4.9231366295847145,14.2,88,22,13.7,0.0
2,19,10,2023,4.866723913793469,13.6,90,26,10.2,0.0
3,19,10,2023,4.887816340606168,14.6,90,56,12.4,0.0
4,19,10,2023,5.0789773201514405,14.1,92,100,9.0,0.0
5,19,10,2023,4.916831895386092,14.1,93,100,6.8,0.0
6,19,10,2023,5.266284909091934,14.3,91,61,6.2,0.0
7,19,10,2023,5.467583431497761,13.9,92,21,6.3,0.0
8,19,10,2023,4.950758582321269,14.1,90,26,7.5,9.1
9,19,10,2023,5.155623017797623,15.7,88,24,9.2,95.6
10,19,10,2023,5.220693170239513,17.1,79,7,4.1,236.8
11,19,10,2023,5.213772460393598,18.1,73,64,5.5,365.8
12,19,10,2023,5.114760709642801,18.0,74,77,12.2,124.9
13,19,10,2023,5.28144249725371,18.2,74,100,15.5,256.6
14,19,10,2023,5.216334130833944,17.9,74,70,13.1,181.5
15,19,10,2023,4.786356287081955,18.9,70,12,8.7,205.0
16,19,10,2023,5.313060908761098,19.1,68,16,5.9,247.8
17,19,10,2023,5.317594601980465,18.5,70,30,7.2,122.7
18,19,10,2023,4.404950366619134,16.9,81,30,4.6,5.5
19,19,10,2023,4.60525635152568,15.6,88,30,6.7,0.0
20,19,10,2023,4.766604140866547,15.7,87,28,5.4,0.0
21,19,10,2023,4.543443437768939,14.9,89,22,6.8,0.0
22,19,10,2023,4.864016404605282,14.6,88,1,7.2,0.0
23,19,10,2023,5.18674001631862,15.0,88,0,6.9,0.0
0,20,10,2023,4.910075655548482,15.7,89,0,8.8,0.0
1,20,10,2023,4.761311012918784,15.9,89,0,10.3,0.0
2,20,10,2023,5.182526812608447,16.2,87,1,11.4,0.0
3,20,10,2023,5.286962789988763,16.2,82,0,19.4,0.0
4,20,10,2023,5.048855570246035,16.1,83,0,18.5,0.0
5,20,10,2023,5.469887329537487,16.3,83,0,18.1,0.0
6,20,10,2023,4.771920713776416,16.5,82,0,18.1,0.0
7,20,10,2023,5.279801819465131,16.5,80,0,20.1,0.0
8,20,10,2023,4.955106958517504,16.7,78,0,22.2,11.5
9,20,10,2023,5.536416640259052,17.6,74,0,25.0,120.5
10,20,10,2023,5.604701001999258,18.3,69,0,26.6,267.1
11,20,10,2023,4.914908016761391,19.0,66,1,26.6,390.3
12,20,10,2023,4.9691828797300825,19.8,63,0,25.9,470.3
13,20,10,2023,5.321469135452178,20.5,60,0,25.1,496.1
14,20,10,2023,5.009789501259849,21.0,60,0,24.2,467.1
15,20,10,2023,5.095219359224169,21.6,62,0,24.0,385.7
16,20,10,2023,5.11291926884283,22.0,61,0,22.5,265.3
17,20,10,2023,4.626653874657814,21.9,63,0,20.0,126.4
18,20,10,2023,4.603112727183669,21.0,62,0,19.1,13.5
19,20,10,2023,4.434140220191184,20.6,66,0,20.5,0.0
20,20,10,2023,4.483291458107285,20.6,70,0,21.4,0.0
21,20,10,2023,4.967480164574431,20.5,73,0,21.4,0.0
22,20,10,2023,4.2924454401374135,20.1,76,0,19.7,0.0
23,20,10,2023,4.809873460394222,19.9,77,0,20.1,0.0
0,21,10,2023,5.048191997926809,19.9,74,0,22.3,0.0
1,21,10,2023,5.047992688385802,19.8,73,0,22.6,0.0
2,21,10,2023,5.315525704522688,19.6,74,0,22.4,0.0
3,21,10,2023,5.202945554151984,19.0,80,0,19.6,0.0
4,21,10,2023,5.260585979814644,18.9,79,0,18.8,0.0
5,21,10,2023,5.359978895642976,18.9,78,1,18.6,0.0
6,21,10,2023,5.03510563471393,18.9,78,0,19.2,0.0
7,21,10,2023,4.964873546882823,18.9,77,0,19.2,0.0
8,21,10,2023,4.846645098870312,19.0,77,0,18.9,11.5
9,21,10,2023,4.911580098015022,20.2,74,0,19.4,119.7
10,21,10,2023,5.855206336836942,21.2,69,0,20.6,267.6
11,21,10,2023,5.429102625693957,21.8,66,0,20.4,391.7
12,21,10,2023,4.780164138957756,22.4,62,0,19.9,471.5
13,21,10,2023,4.787318241323868,23.0,60,0,19.2,497.1
14,21,10,2023,5.238399245939384,23.5,58,0,18.9,467.9
15,21,10,2023,5.2547489298542525,23.9,56,0,18.4,387.2
16,21,10,2023,5.255153689339102,23.6,59,0,16.2,264.8
17,21,10,2023,5.054193782121336,22.9,63,0,15.0,124.2
18,21,10,2023,4.586569165509036,21.7,62,0,12.2,11.8
19,21,10,2023,4.6999026115496,20.8,64,0,10.6,0.0
20,21,10,2023,4.639405982083093,20.5,67,0,10.3,0.0
21,21,10,2023,4.063107637322877,19.9,72,0,9.7,0.0
22,21,10,2023,4.560482822865962,18.8,80,1,7.4,0.0
23,21,10,2023,4.405081121944683,17.9,86,1,7.1,0.0
0,22,10,2023,5.173653086024013,18.3,88,1,8.5,0.0
1,22,10,2023,5.8761649819477375,18.2,90,0,8.2,0.0
2,22,10,2023,5.221720647665461,17.9,90,0,7.4,0.0
3,22,10,2023,5.0514678097537855,17.6,90,0,8.4,0.0
4,22,10,2023,5.360300606791198,17.2,92,0,8.4,0.0
5,22,10,2023,5.250522203099188,16.8,93,0,7.1,0.0
6,22,10,2023,5.234873853909845,15.4,96,0,8.7,0.0
7,22,10,2023,5.281562879600803,15.9,95,0,7.1,0.0
8,22,10,2023,5.643986122504271,16.7,94,3,6.1,9.3
9,22,10,2023,4.847128122465406,19.1,89,13,8.9,117.5
10,22,10,2023,5.248258250499749,20.4,80,7,9.9,254.8
11,22,10,2023,4.8982549488015,21.5,68,30,11.1,368.7
12,22,10,2023,5.268728392882447,22.2,62,30,10.1,385.5
13,22,10,2023,4.900178603425362,22.9,56,30,11.2,354.2
14,22,10,2023,5.025508527895614,23.1,55,30,10.5,357.8
15,22,10,2023,5.056077752737409,23.9,45,3,8.7,235.6
16,22,10,2023,5.373804411133063,23.8,45,0,8.2,263.4
17,22,10,2023,5.359463842282488,22.9,51,3,7.2,123.4
18,22,10,2023,4.3184208871852885,19.5,63,9,6.5,10.4
19,22,10,2023,4.643583759046847,17.8,67,2,8.7,0.0
20,22,10,2023,4.452455267609592,17.5,68,10,8.1,0.0
21,22,10,2023,4.315224003628051,17.1,71,2,8.7,0.0
22,22,10,2023,4.575595968690792,16.7,74,0,9.7,0.0
23,22,10,2023,4.55272953418293,16.4,76,0,10.1,0.0
0,23,10,2023,5.749000261074767,17.3,73,0,8.8,0.0
1,23,10,2023,5.2505610958285605,17.0,75,0,9.4,0.0
2,23,10,2023,4.797916764299827,17.7,73,15,7.9,0.0
3,23,10,2023,5.00112763844565,16.7,86,27,7.9,0.0
4,23,10,2023,5.397666963345736,15.8,90,27,10.1,0.0
5,23,10,2023,5.664431832705867,16.0,90,18,8.9,0.0
6,23,10,2023,4.745825311428897,15.3,93,2,9.4,0.0
7,23,10,2023,4.672340043203625,16.6,92,16,6.8,0.0
8,23,10,2023,5.610062433331332,17.5,92,23,7.5,7.0
9,23,10,2023,5.2397246838311125,19.4,86,31,10.0,87.5
10,23,10,2023,4.925247956519295,20.7,75,30,9.1,186.6
11,23,10,2023,5.275978411018995,21.7,68,30,8.4,221.6
12,23,10,2023,4.483384204734167,22.6,66,30,8.3,223.8
13,23,10,2023,5.143165016137677,23.4,64,30,8.7,256.6
14,23,10,2023,5.224276432699157,23.8,61,32,8.7,225.6
15,23,10,2023,5.373388674372843,24.5,57,25,7.1,280.3
16,23,10,2023,4.888847151415252,23.9,62,21,7.4,245.1
17,23,10,2023,5.163742929839226,23.0,67,46,5.4,102.6
18,23,10,2023,4.410964982973489,20.5,82,47,5.2,3.1
19,23,10,2023,4.706167078406965,19.5,85,20,3.8,0.0
20,23,10,2023,4.41848455889763,17.8,92,13,7.4,0.0
21,23,10,2023,4.540295929698331,18.7,88,1,5.8,0.0
22,23,10,2023,4.393367290790829,18.3,89,0,5.4,0.0
23,23,10,2023,4.8051051999443,18.9,85,0,5.5,0.0
0,24,10,2023,5.369954543906058,15.5,91,0,8.1,0.0
1,24,10,2023,5.0966866222525375,15.8,86,0,5.9,0.0
2,24,10,2023,5.164901263481898,18.1,73,0,4.5,0.0
3,24,10,2023,4.793193911083505,15.4,89,1,8.0,0.0
4,24,10,2023,5.080422602740194,15.2,93,0,8.7,0.0
5,24,10,2023,5.142790610481455,15.8,93,0,8.3,0.0
6,24,10,2023,5.8105400374993845,16.1,93,0,7.1,0.0
7,24,10,2023,4.87735000829835,15.1,96,0,9.4,0.0
8,24,10,2023,5.5213860744300005,16.0,93,0,5.9,7.0
9,24,10,2023,5.404556458108343,18.4,87,1,4.9,107.2
10,24,10,2023,5.225500865864425,19.7,83,0,6.6,246.0
11,24,10,2023,5.594996885790675,20.8,78,0,7.4,363.7
12,24,10,2023,5.248368132893607,21.8,75,0,8.2,441.4
13,24,10,2023,5.252631563658873,22.3,75,11,9.2,466.8
14,24,10,2023,5.142061601487505,22.1,76,25,12.3,440.4
15,24,10,2023,5.461233985346548,21.7,77,31,11.0,342.3
16,24,10,2023,5.429459073194612,22.4,73,31,8.9,216.7
17,24,10,2023,4.998922442867838,21.8,76,32,5.5,81.3
18,24,10,2023,4.3255299660922,20.8,82,30,3.0,2.8
19,24,10,2023,4.6045966053929765,20.3,84,28,4.9,0.0
20,24,10,2023,4.45533212364248,17.6,95,30,6.4,0.0
21,24,10,2023,4.639460621088053,17.0,96,32,5.2,0.0
22,24,10,2023,4.964701298412926,16.3,97,44,4.6,0.0
23,24,10,2023,4.541016350970193,15.6,98,77,5.9,0.0
0,25,10,2023,5.158202408717013,15.5,98,87,7.9,0.0
1,25,10,2023,5.183413937747005,15.5,99,100,7.1,0.0
2,25,10,2023,5.381015974596227,16.2,99,100,4.7,0.0
3,25,10,2023,4.607185920548755,17.0,98,94,4.8,0.0
4,25,10,2023,5.017233180353582,15.7,99,100,5.5,0.0
5,25,10,2023,5.221729177114774,16.7,99,100,9.1,0.0
6,25,10,2023,5.468927993151622,17.4,97,100,13.0,0.0
7,25,10,2023,5.045932642168355,17.3,97,62,13.8,0.0
8,25,10,2023,4.699770077534438,17.3,95,32,12.2,0.0
9,25,10,2023,5.323836115536441,18.1,90,39,16.3,11.8
