hour,day,month,year,Consumption_kWh,temperature(°C),humidity(%),cloudcover(%),windspeed(km/h),irrediance(W/m²)
23,12,7,2023,5.7790629645929,24.3,76,0,9.6,0.0
0,13,7,2023,6.68516762917082,23.6,77,0,7.7,0.0
1,13,7,2023,6.676401377949648,23.0,80,0,5.7,0.0
2,13,7,2023,6.612415924065291,22.1,85,0,4.1,0.0
3,13,7,2023,6.552490776560889,22.2,84,0,3.9,0.0
4,13,7,2023,6.257294874392072,22.0,85,0,5.4,0.0
5,13,7,2023,6.505976229213336,21.0,90,0,4.4,0.0
6,13,7,2023,6.525458930772984,21.0,88,0,5.8,0.0
7,13,7,2023,6.410568242599271,22.9,77,0,5.8,60.9
8,13,7,2023,6.570816131988173,25.1,69,0,8.2,202.5
9,13,7,2023,6.712150274108311,26.8,67,0,8.4,373.7
10,13,7,2023,7.082684035207309,28.4,58,0,9.1,531.9
11,13,7,2023,6.654782013112635,29.4,52,0,7.1,663.3
12,13,7,2023,6.675525157585367,30.8,46,0,8.4,750.9
13,13,7,2023,6.592526080963134,32.2,41,2,9.8,788.0
14,13,7,2023,6.131444756079915,32.9,40,5,12.6,758.3
15,13,7,2023,6.604509091042371,32.3,39,1,9.3,680.5
16,13,7,2023,6.626195112389932,32.9,38,1,9.4,605.7
17,13,7,2023,7.226948088025997,33.4,36,4,7.9,461.1
18,13,7,2023,6.063047318709395,33.7,36,1,7.0,295.2
19,13,7,2023,6.186524395488079,33.3,38,0,4.2,154.9
20,13,7,2023,6.102459617478365,32.1,46,0,1.6,33.8
21,13,7,2023,5.818968050499793,29.4,53,0,5.1,0.0
22,13,7,2023,6.396843263533431,28.3,59,0,6.2,0.0
23,13,7,2023,6.29912081807637,26.4,71,0,6.1,0.0
0,14,7,2023,6.775206475596403,25.5,76,0,6.3,0.0
1,14,7,2023,6.350101625136957,25.3,76,0,6.8,0.0
2,14,7,2023,6.928147066569666,26.5,67,0,5.2,0.0
3,14,7,2023,6.226985723137571,24.3,81,0,4.0,0.0
4,14,7,2023,6.724162762285709,23.3,85,0,3.3,0.0
5,14,7,2023,7.125062395288136,23.8,79,0,4.5,0.0
6,14,7,2023,6.32981440755297,23.9,74,0,8.9,0.0
7,14,7,2023,6.435874056434948,24.7,73,0,7.5,61.4
8,14,7,2023,6.602361330107552,26.3,68,0,5.8,204.1
9,14,7,2023,6.451579575306592,29.3,55,0,3.4,376.3
10,14,7,2023,6.189782631069108,31.4,46,0,3.7,538.8
11,14,7,2023,6.594589232537149,33.1,40,0,3.4,673.1
12,14,7,2023,6.311872560404115,33.7,39,0,8.5,761.4
13,14,7,2023,6.695846596494437,33.8,39,0,12.2,806.3
14,14,7,2023,6.347592430277191,34.9,33,0,11.4,794.9
15,14,7,2023,6.964932090090026,33.9,43,1,7.9,727.6
16,14,7,2023,6.381635165751582,34.1,45,1,13.0,606.6
17,14,7,2023,6.496933109784223,34.3,42,27,17.2,459.2
18,14,7,2023,6.280827793178059,32.0,45,13,20.8,176.2
19,14,7,2023,5.769732409727153,29.0,53,29,22.3,132.9
20,14,7,2023,6.134313472486674,27.1,63,1,19.7,20.5
21,14,7,2023,6.404234177406249,25.8,73,0,18.6,0.0
22,14,7,2023,5.675577680195334,25.3,75,1,17.6,0.0
23,14,7,2023,6.123606953468718,25.1,73,1,16.4,0.0
0,15,7,2023,6.608855156119066,24.5,78,0,16.8,0.0
1,15,7,2023,6.7393401755012885,24.2,83,0,16.8,0.0
2,15,7,2023,6.23464677983744,24.1,82,0,15.7,0.0
3,15,7,2023,6.213770304285892,23.5,87,0,19.4,0.0
4,15,7,2023,6.674369848961185,23.5,84,0,17.6,0.0
5,15,7,2023,6.618130625865257,23.4,83,0,17.1,0.0
6,15,7,2023,6.606507670143429,23.1,86,0,17.9,0.0
7,15,7,2023,6.630496509931205,24.3,76,0,19.6,56.6
8,15,7,2023,6.373878277162338,25.9,68,0,19.1,195.3
9,15,7,2023,6.601947881847211,27.8,55,0,19.6,364.8
